AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
-54.0957	94.19065	7.399997	-342.8967	-2221.7434	101.19891	-2156.4863	-2509.7378	162.54546	1000.0	1999	38.321426	379.60962	8.76957	-6.139571	-0.95371646	0.33218086	22.8426034450531
-30.176987	36.68895	10.830106	-130.13483	-380.54886	569.01624	-7.6503277	-1529.8289	76.17647	254.7	3999	703.745	6967.2964	31.525057	-7.086456	-9.188088	1.3990533	36.501203298568726
-73.36422	122.26304	25.263323	-374.14917	-471.4991	385.27322	-39.2472	-929.10596	235.58333	578.7	5999	2951.6238	29221.215	62.01669	-4.3843074	-33.157738	4.870099	54.06970548629761
-24.1352	37.86726	33.329334	-129.45728	-407.15344	222.98512	-44.700203	-588.402	79.10526	753.7	7999	5988.5186	59286.457	99.7914	-17.105293	-64.63448	12.483382	74.13351631164551
-98.51168	127.37612	27.151064	-361.92743	-429.7968	283.9272	-27.461632	-704.65173	285.8889	660.2	9999	9411.129	93170.305	141.82588	-53.033756	-99.729675	18.921072	92.25897121429443
-238.84679	215.17029	-17.621752	-580.3426	-268.28647	249.31892	-0.20696941	-588.9668	501.0	535.1	11999	12623.329	124971.055	163.38138	-89.24781	-131.04575	23.95538	109.52931571006775
-73.45492	132.77852	22.452179	-336.40836	-83.1538	118.24497	34.893555	-277.60156	273.0	327.4	13999	14104.645	139636.05	172.61093	-83.2518	-144.42212	21.449045	125.12550163269043
-166.79652	154.63025	-4.931223	-417.55292	-287.58136	356.9723	25.03727	-1091.2649	428.0	475.2	15999	14532.989	143876.67	175.49777	-57.269012	-148.07758	15.654336	140.02617406845093
-150.27878	233.54665	31.132448	-551.4392	-66.41537	120.97193	23.29804	-412.53625	393.5	239.9	17999	14589.659	144437.69	176.00745	-101.82504	-148.23586	15.35937	152.31493091583252
-207.17258	200.96022	2.4843566	-497.1349	-76.68105	183.03171	91.81619	-547.5677	465.6	282.9	19999	14215.636	140734.88	175.46034	-68.40956	-144.12682	10.6713505	165.25896859169006
-81.109886	143.82375	22.12817	-461.3951	-6.8519073	23.553724	25.781054	-60.436638	209.22223	67.3	21999	13667.382	135307.17	175.23901	-85.517715	-138.3338	11.778418	175.49267578125
-272.97205	299.37228	1.5365988	-728.68097	-143.11884	191.55913	30.730623	-558.00964	440.4	318.0	23999	12983.262	128534.38	168.0807	-70.815315	-131.36261	11.822088	189.12896871566772
-211.08138	302.29532	13.433955	-727.3522	-172.05411	260.59555	6.0236044	-740.73816	378.0	360.0	25999	12240.744	121183.47	157.09045	-71.153534	-123.74781	9.801525	203.09580874443054
-252.06534	270.01718	-56.16462	-716.87506	-438.86166	635.9503	-17.268366	-1876.3999	468.25	391.3	27999	11432.707	113183.92	152.91356	-79.32588	-115.52355	8.653872	218.65488481521606
-328.39868	300.74713	-21.719841	-773.96765	-193.004	148.34668	-17.242228	-460.12137	489.4	386.5	29999	10668.052	105613.84	148.32742	-94.83431	-107.82175	7.9839964	234.0915389060974
-181.59479	204.47466	-5.8906255	-585.9854	-606.0203	409.61975	-16.812243	-1101.9019	350.83334	637.4	31999	10010.456	99103.66	140.22646	-63.20614	-101.13426	7.3091426	251.4916217327118
-306.54474	460.00278	1.8693975	-1264.0721	-218.58725	329.55234	-14.143606	-901.0704	314.33334	292.4	33999	9314.243	92211.16	133.96228	-68.48146	-94.14467	7.149549	263.55572032928467
-274.0492	145.7796	-101.84607	-458.3195	-484.09854	486.6091	-33.89176	-1557.3645	744.6667	582.8	35999	8608.229	85221.62	127.30899	-53.30681	-87.06373	6.1813507	281.60025668144226
-736.7391	596.50507	-140.234	-1333.2441	-330.35638	460.1549	-1.4334756	-1384.7401	662.5	431.8	37999	7950.4287	78709.41	119.19968	-47.6098	-80.43831	6.029212	296.23503065109253
-364.22192	556.06244	8.560126	-1370.4517	-387.7132	394.4666	-12.751841	-1144.8113	335.125	463.2	39999	7262.396	71897.91	115.546074	-33.349194	-73.49379	5.962258	312.4620351791382
-1344.7739	91.47449	-1253.2994	-1436.2484	-674.1053	776.7101	-11.079506	-2088.8582	1000.0	486.3	41999	6600.2705	65342.9	108.44823	-39.121468	-66.888596	6.008437	327.7864146232605
-524.56525	493.0211	-126.90075	-1219.3833	-825.87976	840.1578	3.8499296	-1939.7267	643.6667	555.3	43999	6048.85	59883.89	105.078896	-35.977623	-61.34902	5.3415728	345.9823091030121
-244.9787	531.57385	42.969185	-1431.6311	-901.10516	614.7543	58.905815	-1721.8313	340.0	798.5	45999	5555.2144	54996.96	100.180466	-33.22205	-56.356358	5.4715304	365.76682305336
-170.49702	519.12445	42.203503	-1727.1398	-471.1307	523.1709	-2.902872	-1494.9509	149.8	614.8	47999	5012.414	49623.312	95.20239	-53.143562	-50.939716	5.6642003	383.7115886211395
