AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-55.450127	56.371956	-10.147421	-199.87584	-49.830322	57.94584	42.957645	-157.12738	207.33333	316.0	2000	-0.17382048	-0.17298968	0.06716175	0.06925667	4.6231515e-05	18.15613	5.221268	27.14696	5.3553114	1240.8746	23.734230041503906
-111.177	138.05037	9.33336	-345.1304	-1.5574347	23.507866	35.92631	-38.98268	348.5	141.6	4000	-0.9148438	-0.914723	0.20300691	0.20116468	0.00012612646	33.657986	3.2476695	39.5141	25.312382	1172.1672	54.07521367073059
-49.926655	85.84888	66.42782	-179.90044	-0.9268473	17.889633	32.384113	-25.3033	503.4	412.0	6000	-0.13070567	-0.13060135	0.26928738	0.26361683	0.00021450635	36.328876	0.84729594	39.136135	33.098198	1175.4655	86.58235239982605
9.568007	34.420574	79.486	-28.380062	13.583578	43.336575	72.754616	-65.67584	242.33333	464.0	8000	1.6034682	1.6034104	0.3197172	0.3179274	0.00026148016	35.433594	1.2432443	40.271313	32.123436	1173.9247	119.3050971031189
-15.898837	20.12678	0.16604483	-54.497616	35.236664	34.50222	92.08339	-10.129869	316.8	391.6	10000	3.3840337	3.3845835	0.3967149	0.38700134	0.00028268175	39.944656	1.3554426	43.897938	35.248394	1186.8707	151.24297857284546
33.02818	17.011408	59.885326	14.282115	35.797848	34.90063	84.80934	-30.70118	444.4	300.8	12000	4.6998057	4.70008	0.403279	0.3962895	0.00031578785	41.301	0.9798082	44.49402	37.877674	1199.46	182.34312748908997
44.216583	48.76101	106.67841	-12.319346	24.485142	38.278645	91.18173	-31.343008	689.6667	264.1	14000	6.2967844	6.2967772	0.4366372	0.4285578	0.00031316947	41.862675	1.1697073	46.105774	38.47123	1144.0377	214.18048882484436
34.43243	22.651379	79.38042	1.948663	55.399708	45.986744	154.52922	4.522073	219.55556	471.2	16000	8.547545	8.547377	0.60757154	0.5940817	0.00029760512	45.364445	1.4848988	50.634636	40.33858	1063.8002	254.93531441688538
90.64633	83.93179	194.88193	-10.644883	50.369667	47.106163	148.98538	-3.1590843	671.3333	408.2	18000	9.781431	9.782301	0.5870695	0.5764543	0.00031226367	48.23114	1.2483631	52.76395	43.834953	889.44916	298.764413356781
48.67262	39.198776	142.39807	8.120539	47.852722	52.8383	185.5307	-20.824387	271.875	238.2	20000	10.49672	10.496778	0.5935289	0.58617735	0.00031195878	49.253975	1.2075918	53.417694	45.19357	882.9808	341.5112090110779
73.28642	51.18655	166.73534	17.534315	86.706154	69.82337	220.13362	5.376526	300.8	399.9	22000	11.503632	11.503838	0.65318835	0.6544172	0.00030354576	49.971806	1.2680585	54.54267	45.007973	937.85565	385.21267533302307
105.784584	39.711945	161.10283	55.81299	192.26633	112.70314	375.13904	7.9004807	360.66666	628.3	24000	12.180199	12.180589	0.6415765	0.64357644	0.0003201807	50.38385	1.2660716	53.787155	46.16305	933.8508	432.01821637153625
278.7708	174.83932	466.6453	45.619457	130.24869	83.115005	262.09457	24.331362	694.3333	449.2	26000	13.284672	13.284382	0.5995568	0.6029275	0.0003198707	49.467945	1.2946709	54.522133	45.232765	895.9201	475.1589970588684
197.0449	17.739727	222.07869	183.10373	81.73067	68.48161	263.5678	7.2601595	749.6667	204.0	28000	14.349099	14.348344	0.59941953	0.60504663	0.00032358032	48.477936	1.2143824	52.55081	44.399185	904.2709	516.3599328994751
407.38052	13.4479065	420.82843	393.93262	242.63248	161.03836	535.93884	15.62373	995.5	540.8	30000	15.46489	15.463884	0.6277144	0.6318806	0.00031294193	49.489594	1.2640358	54.64372	45.299355	879.79486	562.9959402084351
165.33353	150.93738	458.34103	44.734818	362.42212	166.54642	536.9316	13.505243	309.6	830.0	32000	16.40434	16.403034	0.6605415	0.6626464	0.00031915514	49.80272	1.3073049	54.450493	45.819225	910.17126	612.6696119308472
259.74542	39.667595	299.41302	220.07784	265.29385	168.67685	574.39087	7.4766173	761.5	522.3	34000	17.274088	17.273073	0.6759948	0.6831847	0.00030266543	50.555252	1.3015324	54.511105	46.296368	876.9462	657.1401655673981
182.44656	154.27536	422.0506	25.006804	339.14996	224.76242	575.8023	-5.391931	395.8	649.8	36000	18.48756	18.486597	0.7142827	0.7181045	0.00030920887	50.96491	1.3299782	55.78539	45.907204	924.9411	704.6508469581604
381.55914	136.98866	574.2016	205.38438	401.8876	191.84898	631.922	28.041906	713.75	735.0	38000	19.562546	19.561375	0.67159706	0.68255246	0.00031856398	50.28478	1.3101544	54.86309	46.133644	933.22046	751.0010640621185
318.1056	303.91708	662.0582	-5.0293784	396.97638	186.36337	669.0511	123.150215	514.5	703.0	40000	20.831522	20.830858	0.6622718	0.66540605	0.000320194	49.9866	1.3928518	55.53321	45.18418	935.5016	798.8652107715607
229.335	40.37064	274.52844	176.52492	431.93024	227.22903	624.1698	38.600155	551.0	731.0	42000	22.431906	22.431068	0.6866291	0.6987467	0.00032879633	49.880306	1.4330906	55.35019	44.926865	901.9449	845.3093316555023
292.7742	288.225	633.06134	-1.5260904	419.0351	220.12741	695.89996	11.513995	512.25	720.7	44000	24.110561	24.109694	0.7186313	0.72955364	0.00032231252	50.337593	1.4592189	55.123234	45.738976	911.23206	893.9515707492828
312.2296	336.73312	747.04016	25.685078	389.5528	236.49638	718.30695	47.235737	448.8	636.5	46000	25.807442	25.806475	0.7900433	0.801818	0.0003143339	51.489986	1.5180488	56.361897	46.541794	934.68115	940.8450257778168
387.71985	185.77515	573.495	201.94472	444.57724	232.80359	683.9799	98.36578	660.5	701.7	48000	27.454699	27.454472	0.75703365	0.76756275	0.0003090424	51.580795	1.5597851	56.9165	46.27847	857.1071	989.3735554218292
589.8994	0.051208496	589.9506	589.8482	166.27538	201.56206	593.18176	1.1920862	1000.0	267.7	50000	29.009823	29.00931	0.744535	0.7569652	0.00031946207	51.561977	1.585163	56.18795	45.34376	877.233	1031.8863670825958
555.99384	57.711685	613.7055	498.28214	176.84732	209.5226	592.2006	9.073727	1000.0	314.1	52000	30.497246	30.496723	0.7416731	0.75470996	0.00032053434	51.901608	1.6362648	58.24552	47.35822	877.592	1075.8768780231476
365.06503	260.56976	637.4302	96.55514	264.05685	197.34146	609.2639	39.15821	612.0	446.4	54000	32.120544	32.119617	0.75926924	0.7829301	0.00032088856	52.587257	1.7733871	59.227467	46.804054	876.63385	1120.0742955207825
256.48453	286.76065	643.5001	5.2936954	308.07007	217.23477	616.42694	4.256522	466.2	602.9	56000	33.637478	33.63636	0.8041659	0.8310819	0.00030996674	53.21611	1.8012518	58.878128	47.280807	848.6174	1166.1302814483643
262.9287	241.3949	648.3218	44.50663	450.45908	161.49152	650.0235	187.5867	388.0	780.8	58000	34.92658	34.925888	0.8392162	0.8544087	0.00031741022	52.557037	1.9224879	60.239265	46.00497	911.47034	1215.0869448184967
306.53336	188.46133	489.0896	21.835623	420.3373	295.91205	721.06323	12.017445	574.0	626.5	60000	36.166744	36.165924	0.88305825	0.905248	0.00032047072	52.218975	1.8587992	59.508263	46.117886	860.681	1261.336590051651
396.8313	134.85033	578.6756	256.14563	344.62625	251.4086	717.9881	9.255815	642.6667	526.0	62000	37.14071	37.14029	0.8404603	0.8535657	0.00032124328	50.900227	1.848825	57.80293	44.66919	901.90027	1308.1954720020294
