AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-47.79762	81.64954	-2.4707353	-314.29022	-42.54154	28.223661	-14.959512	-95.308586	151.75	20.0	2000	-0.16879709	-0.16871704	0.041809183	0.043907084	-0.36617145	8.988312	11.684777	50.923927	0.25468433	1176.4102	28.973183155059814
-70.38692	87.71644	12.864303	-295.8553	-336.85626	693.28125	-31.732567	-2400.8926	213.5	142.2	4000	6.436	6.4358764	0.1549234	0.15273355	-8.539661	3.5362048	3.023892	35.07147	0.315094	1226.4191	77.24909901618958
-76.67157	111.63767	15.760486	-334.69843	-1815.2605	1030.6954	-432.55093	-2908.2466	261.7143	651.3	6000	35.739468	35.73859	0.99102235	1.0130848	-41.87842	1.6474375	1.9888805	22.330475	0.012207031	1145.9783	136.4915521144867
-106.279175	130.44685	3.5031085	-381.92764	-2938.2368	67.975105	-2789.016	-2986.3616	275.42856	1000.0	8000	132.44852	132.4451	6.415068	6.58999	-150.6196	26.195055	108.51649	1639.8712	0.0015258789	1468.7507	206.36376881599426
-42.0199	75.622536	14.690062	-305.52054	-2673.7512	888.4504	-11.989338	-3004.38	145.86667	900.8	10000	376.15417	376.14874	52.957024	51.71117	-418.4128	12.4704275	92.94048	1856.1829	0.0030517578	1212.5168	271.1983337402344
-732.7391	1092.1259	-35.630497	-2623.0173	-54.29353	25.153976	-22.739223	-114.947174	275.75	19.0	12000	707.438	707.44507	237.8833	225.76329	-737.49335	1370.5497	1156.1766	10782.66	0.012207031	707.09485	317.1972348690033
-286.4425	603.068	-25.799026	-2856.4312	-339.27408	779.55505	-40.347282	-2676.4006	101.793106	127.4	14000	762.96277	762.97424	289.77777	284.96973	-770.0771	344.5703	664.3399	6717.8223	0.012207031	484.7266	367.1928799152374
-146.46146	395.74567	-8.9202175	-2367.4958	-92.94094	41.811466	-28.820677	-165.93707	60.969696	43.6	16000	710.0746	710.0761	357.485	361.70444	-716.6357	321.7423	405.99533	7579.3887	2.380371	560.0928	409.53740668296814
-1726.1433	119.92322	-1606.2201	-1846.0665	-191.60281	438.73868	-15.743129	-1506.4313	1000.0	128.3	18000	687.1447	687.1503	166.53362	160.47943	-697.74414	312.42755	169.96057	1573.5657	72.29004	512.8631	459.1468346118927
-291.46368	502.76813	-25.316689	-1513.9896	-353.57806	581.5965	-14.479413	-1514.514	193.57143	240.0	20000	678.0307	678.03217	118.71805	119.77083	-688.40076	163.02437	86.4673	758.59985	24.542236	803.1864	512.037835597992
-290.2769	503.40277	-9.485996	-1457.1188	-71.792274	46.787216	-14.24215	-152.3583	202.3077	68.6	22000	660.8533	660.85345	118.0976	115.25285	-669.7085	106.06472	62.11128	510.90088	14.874268	513.8921	558.6142437458038
-148.65846	350.94568	0.09175647	-1396.3457	-458.8282	621.48596	-6.2618704	-1476.6581	108.92857	327.4	24000	634.2911	634.28674	141.47398	138.32756	-642.07465	77.35314	47.77132	390.8081	13.555908	647.6288	613.1875238418579
-231.12236	437.72385	-18.108118	-1417.2249	-157.38559	371.91812	-15.715642	-1272.0754	175.85715	126.9	26000	603.0771	603.08057	133.14212	136.78992	-610.3018	65.9131	53.8102	734.1095	9.197998	527.3713	662.922688961029
-1316.2407	16.25293	-1299.9878	-1332.4937	-44.970562	24.787169	-9.788282	-88.32218	1000.0	41.3	28000	571.81866	571.8228	92.08077	95.79879	-578.75037	48.617493	38.07026	550.25635	6.7504883	637.33887	710.807713508606
-124.18559	302.6012	-11.057967	-1328.3054	-423.1814	609.75195	0.76718	-1386.2009	102.05882	327.8	30000	541.49786	541.5044	91.49769	89.40262	-547.3187	38.764454	30.437283	651.001	4.5043945	589.6652	762.8103601932526
-436.19223	620.22253	-10.430806	-1498.0935	-81.03316	56.03061	-17.636786	-190.5629	326.85715	92.7	32000	505.12308	505.1216	74.9761	85.48032	-510.2967	39.797897	29.003826	298.39172	4.8706055	701.4164	812.1255459785461
-61.40135	78.357025	0.47297147	-294.3011	-201.21	398.39056	-5.084256	-1361.7125	55.842106	169.1	34000	467.46667	467.46634	83.411575	83.14699	-471.8424	39.21222	31.352745	424.2401	3.2867432	548.881	862.3514313697815
-163.49823	345.10724	-3.2003903	-1362.7382	-317.06973	545.2307	-2.1310143	-1436.5112	162.0	250.1	36000	428.74774	428.74878	68.572464	67.310875	-432.6238	33.025692	25.45747	413.14087	3.5247803	518.6653	911.138808965683
-655.5587	629.2853	-9.732494	-1286.7704	-295.4984	500.94547	6.0772886	-1320.6409	514.0	265.5	38000	391.6602	391.65833	53.075825	50.376583	-395.20032	26.581945	25.33194	585.75134	3.0822754	768.70514	961.3609609603882
-123.41063	191.7391	0.4657591	-641.15436	-629.40216	594.93646	-6.1158566	-1288.5669	121.1	519.4	40000	356.46985	356.46948	47.02997	43.601974	-359.59476	19.926455	15.423192	203.81775	2.770996	628.23114	1015.9817569255829
-270.43854	437.43253	-21.242748	-1178.1582	-151.98073	324.07178	-6.982081	-1115.213	277.5	168.4	42000	322.5079	322.50638	33.891624	32.64936	-325.23676	18.878494	16.656828	230.23682	2.6519775	816.78674	1063.2200410366058
-207.87175	385.69537	3.4270518	-1145.6274	-268.8498	403.57706	8.840579	-1092.3153	233.0	295.9	44000	290.8795	290.879	27.125858	28.004765	-293.24268	21.379898	16.816723	207.32422	2.5177002	683.95624	1112.5263867378235
