AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
-867.86066	1530.6893	-32.99402	-4283.6514	-2015.7527	1864.6372	-59.636337	-3983.9287	208.0	520.5	1.1187031	0.6003552	4.086319	-0.038418025	1672753.8	0.081072435	7.6611447	0.32283077	2000	19.654725074768066
-506.7879	1061.2285	-51.36149	-3679.4949	-558.3258	1080.1305	-67.36637	-3776.1848	135.5	150.5	-770.3445	211.9142	-133.042	-1675.2351	554059.4	0.080083914	7.528291	0.19169308	4000	31.22664761543274
-960.6812	1511.0127	-47.04967	-3576.466	-914.6042	1412.2544	-85.160484	-3854.5928	266.5	244.0	-1040.0902	235.65356	-89.79412	-1823.6594	496383.06	0.07367797	7.45634	0.14390463	6000	43.096611738204956
-251.89548	204.56412	-41.534542	-927.3319	-577.98865	1061.8512	-60.660427	-3719.927	63.588234	154.5	-1282.111	260.67322	-121.27087	-2032.9978	601093.1	0.025225624	7.381054	0.06228283	8000	53.35936236381531
-590.6298	1163.7152	-56.50603	-4065.0476	-150.82277	108.89736	-35.02381	-395.41776	142.7	36.6	-871.72614	192.7197	-32.24988	-1590.9275	554964.9	0.019806352	7.3261795	0.042997517	10000	61.71128225326538
-378.3359	979.845	-28.064484	-4392.8438	-662.81287	1262.1624	-68.31215	-4420.0005	85.55556	153.7	-1049.8484	281.63046	-13.584143	-1976.1725	648827.06	0.013924684	7.3699064	0.031825345	12000	73.99269318580627
-1065.9463	1591.3625	-62.042515	-4240.581	-1792.0238	2008.7305	-41.796833	-4378.227	250.2	422.4	-1175.5956	257.4588	-6.32064	-2071.0925	628596.8	0.013828417	7.4189386	0.05215529	14000	90.16987323760986
-621.1308	1321.2141	-43.01548	-4350.7456	-1076.43	1641.9752	-75.81032	-4371.8584	142.88889	242.3	-1280.4637	308.7066	-3.7079413	-2424.0747	672722.9	0.014307887	7.3823495	0.0352628	16000	102.023024559021
-410.54272	924.09454	-39.99987	-4289.728	-1386.0063	1945.64	-58.83391	-4445.2773	93.8421	316.2	-1125.9115	324.09225	-4.128282	-2094.7935	626367.1	0.025237	7.3977523	0.047179364	18000	116.0246000289917
-449.37778	961.3729	-52.95434	-4595.6987	-641.0184	1358.518	-55.154945	-4700.2188	98.2	138.7	-887.56287	362.33475	-3.5064194	-2180.3909	499016.5	0.01465613	7.4450126	0.032654013	20000	127.61008334159851
-714.2953	1340.5145	-90.247375	-4493.8447	-606.393	1293.9995	-49.697712	-4480.2656	155.44444	134.0	-922.3195	434.54413	-2.9434288	-2557.6938	697859.3	0.007163703	7.367152	0.028579129	22000	137.34979677200317
-480.9061	1178.4878	-40.580307	-4704.14	-678.1083	1201.2303	-118.85211	-4273.0405	101.28571	152.3	-1273.9	465.43997	-3.9107409	-2595.8906	684304.2	0.0038985177	7.4292164	0.02887386	24000	147.37083315849304
-383.2479	828.2981	-44.84121	-4309.9946	-1096.7936	1742.8708	-97.7323	-4587.4233	80.541664	235.6	-991.444	432.5375	-4.0194836	-2388.1592	450787.2	-0.0019855225	7.3602233	0.020963736	26000	159.46819424629211
-1135.2522	1733.3893	-114.01667	-4586.818	-1060.0492	1743.2908	-83.58622	-4579.4155	238.8	233.0	-1390.6112	554.03503	-2.726361	-2771.4314	792788.6	-0.013232108	7.3268175	0.017913824	28000	173.32115530967712
-591.8678	1376.9758	-55.269493	-4709.7275	-702.6405	1381.176	-65.207726	-4816.601	124.0	144.8	-1427.7708	362.8907	-4.25719	-2577.2268	738333.0	-0.013167732	7.3738775	0.014660732	30000	183.99773025512695
-490.118	1180.6229	-55.509254	-4736.32	-1077.7886	1869.82	-91.69343	-4880.701	102.42857	223.7	-1299.3961	401.762	-4.7263618	-2492.0168	807375.1	-0.010427813	7.330059	0.012766958	32000	195.32908034324646
-458.32468	1119.3907	-39.500645	-4755.415	-153.33669	111.02394	-49.81901	-342.36203	93.8125	29.0	-1185.3336	328.705	-4.88141	-2171.5479	664760.5	-0.014935567	7.429674	0.02110427	34000	202.96911120414734
-290.0654	219.46367	-51.255276	-881.4858	-311.3706	166.97957	-101.84804	-554.73035	60.1	60.7	-833.796	340.93832	-4.7756906	-2021.5261	98374.5	-0.008256567	7.3689137	0.01833794	36000	212.09338331222534
-1019.62134	1700.1914	-122.20789	-4810.235	-1609.3469	2102.6152	-61.321487	-5053.691	210.16667	335.9	-371.93936	119.47219	-3.2330945	-822.92505	928453.3	-0.010829449	7.311826	0.019822726	38000	227.84800481796265
