AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
-61.396378	104.098015	5.476267	-345.33295	32.931297	146.22302	178.71432	-340.10886	160.88889	1000.0	2000	710.5421	11324.302	14.200123	-7.4318695	710.64307	11325.91	14.1906805	-7.371506	-1258.5116	20057.54	34.787155	-13.078707	-3.8463194	0.057333246	0.056169145	1616.7186	16.65071129798889
-65.731026	96.19083	13.988484	-285.70685	-106.56437	82.560776	22.00822	-209.93494	206.66667	507.0	4000	2144.3643	34175.867	34.01632	-11.452577	2144.4004	34176.45	33.8596	-11.738317	-804.684	12824.706	13.183033	-17.534775	-9.7685375	0.18065213	0.18224227	1937.2388	32.323410987854004
-141.46213	111.661224	6.2583704	-291.95514	-86.03194	211.66237	10.035324	-715.0697	387.25	157.0	6000	4803.302	76552.68	49.335907	-8.997424	4803.345	76553.37	49.559555	-10.006854	-235.50768	3753.7622	22.355993	-16.775974	-20.745195	0.39537433	0.39015332	1876.88	47.31849503517151
-44.4618	105.294525	27.647514	-417.3174	-41.245796	46.151417	5.798943	-143.9099	133.14285	51.9	8000	8677.654	138300.17	74.832115	-5.250307	8677.776	138302.14	75.47227	-8.765998	302.08273	4814.8716	22.600101	-16.16493	-36.57264	0.89737654	0.8882063	1614.9688	63.13663387298584
-53.888737	80.01267	45.972126	-320.11108	-33.6763	20.117657	-10.4193125	-83.940544	160.125	26.4	10000	14200.953	226327.75	109.59658	-15.685979	14201.25	226332.5	109.59694	-15.845768	881.6045	14050.76	33.652576	-16.145096	-59.13401	1.8625612	1.8544817	1872.071	77.08136534690857
-155.07654	339.76404	-5.1217732	-1053.2191	-112.07289	173.79675	11.443754	-522.4353	170.5	273.5	12000	19531.523	311283.72	126.9799	-21.08916	19531.586	311284.72	129.19583	-26.69687	520.7322	8299.454	40.263325	-19.822573	-78.92522	3.3457327	3.385935	956.6251	96.1607563495636
-335.44604	317.87576	-20.715117	-714.3543	-58.14499	89.18488	33.45033	-215.43092	513.25	379.2	14000	20389.889	324963.94	137.7931	-32.27877	20389.98	324965.34	137.7619	-30.795118	83.070694	1325.0841	34.41103	-15.444216	-81.35506	2.771031	2.7756608	814.1152	118.63547897338867
-151.23975	216.45752	7.80529	-559.98083	-39.050117	53.28142	31.19047	-147.9174	368.33334	315.1	16000	20321.316	323871.1	143.46762	-33.389168	20321.432	323872.88	141.4219	-38.406364	-3.474961	75.8118	31.564575	-16.174747	-80.91266	2.9972746	2.9589942	753.4449	141.8076889514923
-37.41917	105.00602	41.113247	-392.108	7.302419	51.12065	149.57214	-42.934044	161.71428	254.8	18000	20051.48	319570.6	143.54367	-39.145058	20051.451	319570.1	145.09438	-47.752018	-61.67162	984.1154	29.322435	-14.899206	-79.66452	3.4608896	3.4322817	778.37585	163.5079221725464
-51.04569	115.96286	12.557176	-394.42123	13.783594	14.678568	28.430506	-12.602751	156.7	197.4	20000	19465.277	310228.03	141.92017	-41.331886	19465.285	310228.16	140.98404	-34.661053	-101.59793	1619.9462	30.357403	-15.912794	-77.2203	3.5182881	3.6445286	814.1299	183.3115212917328
-125.48823	163.09555	-3.0435536	-373.46973	40.823753	47.532192	118.300285	-41.36417	396.33334	364.3	22000	18531.424	295344.72	136.60416	-30.42464	18531.215	295341.38	138.0962	-38.206917	-132.95132	2119.447	30.38454	-18.199564	-73.50192	2.8943648	2.9125502	883.89813	203.97152256965637
-151.23477	155.32991	17.86	-326.88095	112.29564	53.70489	222.21468	37.419605	537.0	485.8	24000	17504.51	278978.3	138.61472	-46.5322	17504.309	278975.06	139.31898	-40.30081	-191.65187	3054.8057	28.79798	-15.656063	-69.4193	2.5703702	2.5779917	838.48584	226.73326992988586
-55.110394	96.64073	15.35193	-285.78094	174.17549	82.29016	243.86612	-3.194226	239.71428	690.5	26000	16628.213	265012.3	135.99738	-47.311096	16628.117	265010.78	139.81572	-35.843185	-249.25307	3972.7397	27.06597	-17.104145	-65.929436	2.5671284	2.5279846	840.93646	251.86623001098633
-80.205124	94.05593	4.249643	-201.14235	113.921585	115.5105	319.22998	4.983928	471.0	377.7	28000	15731.419	250719.66	131.2881	-25.283333	15731.16	250715.53	133.30081	-41.075634	-301.52795	4805.8174	29.11662	-16.065094	-62.385117	2.2176747	2.2773452	906.9325	272.5637288093567
1.9384465	81.98205	99.88715	-206.56085	198.50658	186.82564	527.294	16.686874	211.55556	481.3	30000	14915.354	237713.64	128.63275	-48.268105	14915.198	237711.16	129.65855	-44.89997	-367.38037	5855.295	28.26228	-17.437098	-59.120876	2.29512	2.3595092	911.1976	294.4715209007263
43.574055	19.331398	69.13997	22.404055	125.99406	144.41992	409.8963	-4.0987363	401.33334	315.7	32000	14184.122	226059.66	123.79849	-53.589054	14184.124	226059.67	125.48348	-36.98695	-424.4396	6764.644	34.06963	-14.81562	-56.219616	2.073242	2.1147127	849.3019	314.5875210762024
