AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
-140.34586	157.05957	-9.636749	-361.22504	-399.03574	145.42786	-127.94935	-608.10284	396.33334	1000.0	1999	-49.212505	487.32498	6.3409505	-7.2530704	-49.357643	488.7633	6.37856	-7.3678627	-0.06307069	0.11673449	0.09857823	22.766857624053955
-42.662148	72.101204	39.600323	-290.04208	-480.877	677.3059	-15.994511	-1575.4159	141.8125	315.6	3999	-4.2457557	47.72798	14.300846	-10.196792	-4.26165	47.865673	14.166014	-10.518031	-1.0892828	0.17035323	0.17136566	37.913947343826294
-44.93159	89.95498	32.571968	-340.77826	-215.75085	524.80695	-8.6290455	-1788.2233	164.5	119.4	5999	239.66273	2372.942	23.50204	-12.642334	239.57822	2372.1052	24.633833	-11.47192	-4.514913	0.42955443	0.43804315	51.0343074798584
-54.91364	84.29034	11.113334	-319.53827	-304.77686	749.5761	-14.619274	-2552.405	168.07692	130.8	7999	638.7719	6324.0327	37.284813	-14.427899	638.7735	6324.048	37.06119	-12.966336	-9.540566	0.88544136	0.877258	63.90503215789795
-94.72449	141.27443	-3.0455494	-376.12753	-163.3842	302.68353	-18.943478	-1064.6427	256.8	82.2	9999	1092.0309	10811.263	43.96422	-11.3700485	1092.1019	10811.965	43.976627	-11.973342	-15.012338	1.3385704	1.3610786	76.94744372367859
-249.35132	443.03436	-8.326976	-1513.449	-169.59444	286.84946	6.2684045	-841.708	232.45454	249.1	11999	1370.7511	13570.582	46.265617	-8.853149	1370.8801	13571.858	46.900467	-8.093534	-16.429508	2.1506343	2.073814	92.30428671836853
-15.1283455	187.93977	158.33551	-332.4921	57.590675	75.2995	230.68437	-45.710052	550.75	624.6	13999	1301.1395	12881.452	45.94508	-10.737882	1301.2357	12882.404	45.443035	-9.954937	-15.233896	1.7567468	1.7043236	113.50745582580566
55.600754	121.54421	389.0576	-27.494427	254.347	190.98152	513.11554	-19.763739	187.66667	588.3	15999	1273.0219	12603.124	48.293842	-11.271493	1273.0999	12603.897	48.60702	-11.055179	-14.931442	1.6570593	1.5777165	133.36697030067444
202.5094	158.52892	366.20337	-12.00385	195.84119	184.7104	563.36426	2.2538369	659.3333	410.6	17999	1255.1858	12426.582	50.676178	-13.0268955	1255.1517	12426.245	52.17009	-12.542517	-14.72023	1.5761175	1.5371214	150.4117681980133
253.71101	179.66531	499.11905	73.99285	145.43558	197.2791	541.02075	-3.0689545	508.66666	339.7	19999	1306.8444	12938.034	49.51293	-17.459372	1306.8185	12937.779	49.50689	-16.893908	-15.100775	1.6266737	1.5825286	167.2925488948822
172.7661	195.11847	455.03494	15.659338	241.93213	202.81813	634.17664	41.10231	380.0	636.4	21999	1314.804	13016.838	49.594486	-20.8662	1314.7839	13016.64	49.65504	-20.263311	-15.137969	1.5504472	1.5267061	186.83423852920532
98.26101	114.98373	328.78583	2.6203854	240.3879	208.29405	504.3701	-27.210772	409.0	631.1	23999	1276.014	12632.825	49.412292	-21.569649	1276.0051	12632.737	49.172302	-21.958994	-14.680975	1.5859524	1.5517033	207.05946946144104
435.3931	24.886597	460.2797	410.5065	146.40077	114.19823	443.75186	15.051853	1000.0	379.1	25999	1242.5278	12301.313	49.223885	-27.766644	1242.483	12300.869	49.85973	-22.819422	-14.312722	1.4564449	1.4150548	223.37994146347046
441.65543	80.40604	522.06146	361.2494	206.61679	202.23329	602.7279	-9.3035555	1000.0	491.9	27999	1219.0612	12068.991	48.44707	-29.066195	1218.993	12068.318	49.149994	-26.829052	-14.0054245	1.409723	1.3830969	242.02165913581848
322.4089	271.94626	594.35516	50.46265	294.35443	236.14067	708.84906	-1.0642467	575.0	545.1	29999	1223.9723	12117.598	46.0183	-29.65149	1223.9186	12117.067	47.951916	-26.655533	-13.978596	1.4101084	1.3928236	260.62558341026306
337.87332	219.04349	599.47327	108.65221	253.80411	230.06181	684.8239	1.9297371	619.5	500.2	31999	1257.4995	12449.494	44.205307	-28.290876	1257.4019	12448.527	44.690617	-27.42784	-14.280291	1.3492563	1.3443953	278.92701983451843
210.19365	213.24199	576.88043	18.256187	291.23483	260.95096	718.63153	-17.437471	373.0	539.5	33999	1325.8356	13125.993	43.495842	-28.195133	1325.7747	13125.39	43.66746	-26.339943	-14.88509	1.5152267	1.4767976	297.97883915901184
