AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
-27.023571	42.34297	24.744295	-169.22208	-415.3999	702.88586	-25.294937	-1941.4076	69.95652	207.0	2000	143.44981	143.56482	0.06502532	0.06233988	6.337045e-11	3.3093275e-11	2.7931332e-10	9.335215e-12	5297.887	2679.4214	15568.168	1290.32	339230.75	29724792.0	237.32922	-14.870104	2053.5056	19.325106143951416
-120.18439	134.34712	4.662583	-319.0152	-360.4361	605.809	-28.271006	-2065.2964	392.83334	152.1	4000	2101.0198	2100.8574	0.2475834	0.25038224	8.355823e-11	2.6724437e-11	1.843642e-10	1.9685037e-11	6456.6343	1326.7596	14512.419	3944.4014	290771.5	25478692.0	201.97643	-11.810004	1860.0034	46.56422138214111
-17.102676	25.285702	35.14036	-68.08185	-591.6144	1055.6168	-26.585016	-2717.4785	103.82353	222.5	6000	10347.154	10347.434	1.956035	1.8754876	5.635167e-11	2.0270658e-11	1.3344609e-10	8.2800156e-12	8747.275	2457.2097	23972.49	4546.607	601173.3	52677670.0	367.8777	-2.093852	2051.0425	74.98627305030823
-145.57399	175.18031	18.073349	-371.83316	-58.168205	23.373018	-15.050665	-95.600685	444.0	24.3	8000	29664.035	29665.355	9.729124	9.384865	4.404338e-11	1.55698e-11	1.0137748e-10	9.348348e-12	14083.503	3887.173	34184.44	6048.001	985240.94	86330696.0	852.0891	6.3095613	2184.384	96.83130741119385
-31.55634	33.634235	19.101002	-110.74941	-44.46408	26.162155	-17.305813	-107.92343	72.04762	20.1	10000	62949.273	62950.62	47.13356	45.938667	3.5378547e-11	1.3591522e-11	9.90543e-11	5.851568e-12	22429.031	6857.268	76775.664	10658.394	1308207.1	114632010.0	834.1575	11.000014	1962.8842	120.86838221549988
-161.52792	289.74548	-23.622828	-1655.4404	-116.05847	77.438774	-49.7016	-317.92587	74.55882	45.4	12000	95194.375	95195.82	138.09715	139.11525	3.695839e-11	1.5195904e-11	1.1030748e-10	6.1781665e-12	34116.04	10495.104	108333.234	14931.224	1159255.1	101578504.0	1081.782	8.734466	700.0946	148.82584261894226
-444.28232	745.31305	-52.198654	-2106.3167	-62.909943	299.6603	462.87866	-677.75745	204.66667	471.2	14000	95367.74	95369.61	99.14119	102.92185	6.6004154e-11	3.051013e-11	1.912827e-10	8.20178e-12	37561.008	11818.091	112827.84	16736.594	398518.97	34919870.0	447.622	-1.5661049	796.0302	181.6639325618744
-228.52567	341.53336	18.279865	-1028.6431	-272.16306	499.8666	-9.812424	-1308.0917	274.5	224.5	16000	98311.07	98312.13	60.745228	61.25986	8.717682e-11	3.670483e-11	2.1226519e-10	1.1249052e-11	22309.568	7563.4243	66274.305	10651.644	252590.17	22133204.0	176.96127	1.4503598	787.92334	211.47174310684204
-95.37596	229.6548	-7.17443	-1090.7327	-212.31577	323.50317	-13.774965	-1170.071	101.4	186.2	18000	99796.61	99796.46	67.801674	68.79097	7.5020976e-11	3.7253308e-11	2.1359389e-10	8.967521e-12	16670.379	6031.423	52226.03	7651.9487	255562.9	22393670.0	178.69193	5.4157314	845.31696	240.05183601379395
-585.15576	569.36017	-15.795603	-1154.5159	-238.4177	337.50598	-9.958337	-1145.1488	514.0	229.7	20000	98952.33	98952.61	57.93492	61.225803	6.235627e-11	3.3701437e-11	2.3035976e-10	5.678487e-12	13485.254	4979.8916	53908.34	5245.064	272356.47	23864800.0	151.68382	5.326913	891.5854	268.385981798172
-285.95535	481.71744	4.936401	-1241.6193	-366.51315	448.30316	3.585616	-1136.0626	259.44446	371.1	22000	96300.36	96300.29	50.05087	49.91285	5.813157e-11	3.1587153e-11	1.842076e-10	4.940205e-12	10656.314	3866.5735	38440.688	4389.9355	280971.25	24619860.0	152.89645	8.155484	877.3576	299.7409100532532
-92.87904	212.39297	2.8733757	-1078.2251	-209.64865	338.92688	-6.1747127	-896.1734	114.26087	219.2	24000	92222.53	92223.03	51.849186	51.326187	5.2687788e-11	2.9800287e-11	2.2231293e-10	6.2900696e-12	9232.566	3668.9683	32356.562	3333.2046	284338.12	24914792.0	152.15536	7.91483	866.3248	328.48859763145447
-201.3827	360.70264	-13.976958	-1149.0603	-330.55878	468.4809	0.32796904	-1093.4618	225.75	372.9	26000	86916.52	86916.93	47.850292	45.611042	4.8213693e-11	2.8922958e-11	1.6955486e-10	4.4321825e-12	8207.226	3589.6514	31922.041	3189.6353	289407.25	25359126.0	138.75597	12.053787	847.239	359.6569502353668
-178.28882	359.56284	3.0625277	-1057.8651	-198.71239	314.69373	5.7526455	-909.95465	196.28572	290.3	28000	81247.24	81247.29	39.35165	36.201603	4.7864396e-11	2.940142e-11	1.7530663e-10	4.3283662e-12	6737.536	3006.0576	29241.355	2637.7917	293028.47	25676352.0	133.35864	11.149553	837.45465	389.02940225601196
-80.63475	201.84114	27.98788	-926.8137	-295.47232	390.47644	11.272487	-931.5384	134.05	381.7	30000	75306.195	75305.97	35.187637	33.787685	4.453461e-11	2.6730236e-11	1.7487568e-10	4.816999e-12	5784.711	2358.631	22219.67	2033.1554	292561.47	25635474.0	122.61351	11.8281	775.8888	419.52725052833557
-240.07063	275.03436	-58.36208	-715.6018	-257.83914	342.4922	-5.8868723	-817.5987	363.75	359.4	32000	69467.51	69467.85	28.068005	26.948032	4.4906884e-11	2.6226622e-11	2.1089562e-10	5.1845685e-12	4910.726	2140.6846	18221.045	1802.0906	292743.1	25651294.0	128.16554	10.140316	750.16455	450.23726749420166
-251.86075	318.9826	7.643478	-822.89087	-111.059	166.98035	11.245798	-577.3035	384.2857	221.5	34000	63755.258	63754.465	20.825228	20.07805	4.515271e-11	2.6913867e-11	1.8529514e-10	4.6506804e-12	3973.497	1696.0262	16100.326	1416.1055	297748.16	26090186.0	112.70275	12.094812	693.14545	482.5496275424957
-138.50343	208.02098	-17.841612	-593.571	36.626335	141.30309	435.12653	-137.83624	258.83334	192.5	36000	58271.992	58271.98	16.879343	15.809343	4.6513307e-11	2.8634409e-11	1.9393323e-10	4.5677715e-12	3314.9045	1432.3383	16024.278	1055.9795	295658.88	25906996.0	119.34147	13.089701	791.2372	511.3998749256134
