AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	StepsPerSecond	Time
25.641026	15.679462	91.0	9.0	191.6	18.440172	200.0	141.0	25.641026	191.6	2000	2.6849205	2.684667	0.019460496	0.019503755	-2.7284071	45533.688	25.631214141845703
24.04878	13.299461	96.0	9.0	87.4	3.382307	94.0	83.0	24.04878	87.4	4000	8.533672	8.533792	0.03538708	0.034799423	-8.796981	47660.656	63.71181106567383
23.987951	12.578901	67.0	9.0	117.8	5.192302	127.0	112.0	23.987951	117.8	6000	15.883716	15.883783	0.08314906	0.078644946	-16.485527	44237.71	100.47264885902405
21.858696	13.116189	90.0	9.0	154.7	4.3370495	162.0	149.0	21.858696	154.7	8000	22.760365	22.76056	0.13506515	0.13209961	-23.75646	46958.76	137.38447451591492
22.97701	11.811719	74.0	10.0	200.0	0.0	200.0	200.0	22.97701	200.0	10000	29.198463	29.198591	0.22259411	0.2169524	-30.576223	47230.035	176.2920958995819
178.27272	48.811493	200.0	33.0	187.7	10.3445635	200.0	172.0	178.27272	187.7	12000	35.438072	35.437805	0.27653626	0.2723235	-36.940437	1465.5533	215.85632801055908
154.15384	18.703543	200.0	127.0	160.8	11.981653	175.0	142.0	154.15384	160.8	14000	40.74544	40.74513	0.33939135	0.33892825	-42.18229	1663.0107	254.74334597587585
187.2	22.89454	200.0	140.0	200.0	0.0	200.0	200.0	187.2	200.0	16000	44.69895	44.698757	0.29017273	0.287947	-46.072605	1447.6265	293.96452260017395
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	18000	48.70636	48.7064	0.26087475	0.2592586	-50.017437	1504.2413	332.75882148742676
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	20000	52.908398	52.908566	0.27134135	0.27028406	-54.166843	1374.1384	371.2962603569031
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	22000	57.01555	57.01573	0.25305757	0.24828091	-58.250645	1464.4513	410.65338158607483
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	24000	60.890114	60.89028	0.24907725	0.24449481	-62.07698	1609.598	450.58788084983826
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	26000	64.62474	64.62486	0.2614241	0.25108585	-65.79342	1552.9545	491.5166747570038
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	28000	67.88727	67.887215	0.28270918	0.28237513	-69.00741	1604.6029	530.9374353885651
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	30000	70.77615	70.77648	0.30501842	0.29360792	-71.841576	1414.767	569.3369932174683
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	32000	73.438484	73.4388	0.26779652	0.26762506	-74.504295	1528.6305	607.7764728069305
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34000	75.81199	75.81203	0.28912422	0.28749254	-76.83703	1589.0251	646.465903043747
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	36000	78.097725	78.09801	0.26638976	0.26174048	-79.09061	1704.8469	684.5689706802368
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	38000	80.0048	80.00516	0.2848889	0.2822112	-80.95462	1772.3196	723.0886545181274
