AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-325.34668	15.010971	-310.3357	-340.35764	-93.830124	1.1630955	-92.173225	-95.414566	1000.0	1000.0	2000	1.5457147	1.5451467	0.05163958	0.0510184	-2.4648995	2245.017	6827.376	56386.754	0.4869003	8838.908	19.366345643997192
-249.14355	32.999725	-216.14383	-282.14328	-95.778824	1.0752224	-94.28532	-97.33939	1000.0	1000.0	4000	5.5444837	5.544321	0.17165022	0.17673445	-6.5279527	2279.4158	13857.841	141779.02	2.6899958	8246.942	47.365376234054565
-251.73006	37.697098	-214.03296	-289.42715	-96.38143	0.9953436	-94.81842	-98.074776	1000.0	1000.0	6000	15.746835	15.746296	0.3621896	0.35669672	-18.049965	712.637	741.2811	6230.1753	21.580688	8330.563	75.37821006774902
-267.04803	45.89962	-221.14842	-312.94766	-96.145096	2.070805	-93.79849	-100.08067	1000.0	1000.0	8000	39.167877	39.167347	0.78719664	0.77904606	-42.86153	114.59771	127.00703	1271.3396	4.0933123	8237.417	103.3423683643341
-282.67023	180.40485	-102.265366	-463.07507	-55.318535	48.733585	15.415046	-118.94558	1000.0	1000.0	10000	69.98638	69.985214	1.7368696	1.7261541	-74.007935	261.7839	1000.3154	18671.824	5.83893	8216.4	131.6068470478058
-31.025454	66.40112	35.375668	-97.426575	-185.90263	109.99008	-21.14851	-389.7704	1000.0	1000.0	12000	102.86374	102.86291	2.4103892	2.4029415	-107.97378	980.0574	2059.136	16833.576	7.671811	1752.644	160.37603974342346
-137.21521	40.89626	-96.31895	-178.11147	-131.51431	43.591133	-60.030056	-218.58058	1000.0	1000.0	14000	134.96727	134.96692	3.115358	3.0907485	-140.80475	15121.616	25302.908	163512.44	8.730646	1755.0737	189.5504117012024
-102.430984	0.42251205	-102.00847	-102.85349	-101.71867	1.9244871	-98.12487	-104.52972	1000.0	1000.0	16000	177.8378	177.8362	3.7990038	3.8754332	-184.51747	1515.7985	2522.758	21339.252	10.944709	1711.574	218.5743372440338
-94.26448	0.08588028	-94.1786	-94.35036	-101.79268	1.5542989	-99.01047	-103.79897	1000.0	1000.0	18000	226.63927	226.63864	4.0422277	4.1071434	-233.56177	1000.8669	2372.4224	33368.094	10.375128	1742.666	247.38065361976624
-101.84804	0.19216156	-101.655876	-102.0402	-102.54077	3.6311715	-98.9319	-111.64733	1000.0	1000.0	20000	271.5323	271.53253	4.012799	3.9506528	-278.2882	640.64386	2017.9816	31227.33	12.262046	1741.6725	276.3692715167999
-101.60993	1.2393799	-100.37055	-102.84931	-100.94658	2.1356435	-97.30554	-104.487	1000.0	1000.0	22000	312.92548	312.92493	4.1884093	4.1306725	-319.77142	170.10594	1065.2759	21658.148	11.087833	1722.7218	305.3995566368103
-106.12137	3.8473625	-102.27401	-109.968735	-103.37699	26.753124	-54.51265	-141.63472	1000.0	1000.0	24000	350.48077	350.4803	4.2950625	4.33102	-357.1994	64.53651	206.86346	6414.119	9.27686	1725.8365	334.2159662246704
