AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
-264.6558	68.20933	-196.44646	-332.8651	-26.03371	1.3385044	-24.417295	-28.509825	1000.0	1000.0	2000	367.5237	5857.455	9.486112	-5.3967485	367.4348	5856.038	9.713444	-5.153975	-780.5048	12439.317	31.918709	-12.550369	-2.3813372	0.084471464	0.09239424	6957.945	18.825586557388306
-357.17816	0.19459534	-356.98358	-357.37277	-67.37836	27.383194	-22.843784	-108.162506	1000.0	1000.0	4000	1312.9363	20924.984	22.062994	-9.769603	1312.9813	20925.7	21.927048	-9.796024	-688.0935	10966.531	12.442468	-12.799643	-6.048787	0.13031946	0.13018897	7118.4507	41.70851254463196
-275.5904	62.718056	-212.87233	-338.30844	-104.42619	51.90091	-13.697074	-162.17352	1000.0	1000.0	6000	3120.3325	49730.36	35.470615	-10.654037	3120.4263	49731.85	35.809994	-10.381546	-263.47586	4199.374	14.959505	-13.647649	-13.513476	0.2971574	0.29006776	7152.916	59.24424719810486
-420.55463	10.278732	-410.2759	-430.83337	-133.8138	31.327196	-98.98926	-190.70947	1000.0	1000.0	8000	5891.0244	93888.28	51.673565	-4.654049	5890.9453	93887.016	53.119614	-4.078829	79.71024	1271.4498	18.872906	-13.832182	-24.821209	0.5226048	0.50857246	6400.076	78.33391547203064
-239.30945	11.033287	-228.27617	-250.34274	-120.75835	49.54795	-33.7121	-241.86072	1000.0	1000.0	10000	9362.289	149211.58	71.22457	7.104146	9362.142	149209.22	70.03167	7.0386534	373.20422	5948.22	23.289345	-14.167257	-38.7819	0.80679876	0.7986255	6273.654	98.25185251235962
-159.7538	12.557556	-147.19624	-172.31136	-481.24628	87.862915	-313.99448	-631.40265	1000.0	1000.0	12000	12096.906	192794.56	88.041336	18.962496	12096.71	192791.45	89.3774	19.353489	37.897404	606.2998	30.018623	-14.000505	-48.646732	1.086278	1.0879704	1270.582	119.90817189216614
28.433792	251.34383	279.77762	-222.91003	894.02313	294.9653	1250.4193	394.1769	1000.0	1000.0	14000	12593.919	200715.77	93.02016	16.140144	12594.021	200717.42	91.45467	17.563667	-325.2644	5184.0664	17.539597	-13.610441	-49.988216	1.0355016	1.0071605	1370.2344	142.4328112602234
296.49646	85.23046	381.72693	211.266	970.9266	110.85241	1128.8607	666.7816	1000.0	1000.0	16000	12957.864	206516.12	88.986374	17.750462	12957.884	206516.44	89.01478	17.584728	-448.945	7155.146	17.290955	-13.7056265	-51.213673	0.8824437	0.86371684	1610.9855	165.34016799926758
717.94025	80.44495	798.3852	637.4953	1244.5244	69.730484	1353.0417	1113.8938	1000.0	1000.0	18000	13083.682	208521.33	85.43344	18.964445	13083.709	208521.78	86.0673	19.434425	-487.53128	7770.101	19.948368	-13.225779	-51.650898	0.7559008	0.7399594	1700.266	189.08551573753357
1168.0459	77.78088	1245.8268	1090.265	1188.1794	269.90356	1646.4926	724.0868	1000.0	1000.0	20000	13554.187	216020.02	95.4638	19.593042	13554.188	216020.05	95.21778	18.972105	-473.88074	7552.55	15.822096	-16.169098	-53.469265	0.74005306	0.7277035	1432.2693	212.88084936141968
