AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
22.28864	24.521133	148.1719	5.5224953	188.21333	2.0446844	193.03365	185.74309	24.012346	84.1	1999	394.47235	3905.3657	17.977875	-2.8361273	-4.480071	0.15973075	9.464776039123535
17.655697	14.637126	107.66178	5.079228	255.3237	1.4757036	257.5962	253.37903	22.252747	108.8	3999	1500.6874	14857.008	55.814144	-10.865338	-16.63064	0.9528706	23.326053619384766
17.839119	14.794008	83.268	5.4279995	233.83081	1.1417314	234.96758	231.9736	22.043478	107.6	5999	3650.2317	36137.63	94.62945	-32.116764	-40.34804	5.1500077	36.58635759353638
16.72149	11.235777	76.669464	4.908693	281.21545	2.394457	283.33832	277.00415	21.901098	112.4	7999	7318.956	72458.195	151.68599	-51.25672	-80.91309	16.367186	49.36270833015442
19.213884	16.97658	108.91906	4.400785	13.428146	0.5051048	13.7547035	12.397926	22.404495	14.8	9999	11986.123	118663.3	231.17947	-125.08627	-130.75983	37.445107	61.05585741996765
147.99828	192.94632	683.20264	12.501651	1045.4529	0.37695438	1045.9825	1044.8882	103.68421	1000.0	11999	17792.502	176146.64	285.1116	-74.56553	-192.29758	70.85033	83.96980261802673
289.006	125.785866	464.4692	28.008215	157.72183	2.619037	163.91263	153.73146	199.66667	87.3	13999	22681.203	224544.72	306.16678	-85.04303	-240.66916	88.978004	95.99531722068787
221.50537	47.607674	368.82996	150.55797	1036.496	0.5724269	1037.6917	1035.813	118.28571	1000.0	15999	25591.281	253354.47	322.72394	-102.00778	-268.3673	110.78048	116.76298761367798
769.61523	263.36865	1048.7158	416.47256	925.80286	303.2492	1033.0194	16.129282	675.0	902.3	17999	27592.328	273164.8	340.24432	-162.47758	-287.96518	113.575096	138.38738441467285
523.67	330.5695	1130.6207	16.797642	551.9594	58.7453	668.71594	458.87805	400.16666	392.2	19999	29350.416	290569.8	351.16284	-135.43622	-305.13544	109.16788	155.0821373462677
481.27325	234.12129	693.5565	40.98159	274.37848	98.39288	398.10025	110.85383	354.2	200.4	21999	30369.486	300658.6	365.14886	-130.82166	-314.0578	106.52445	169.7938015460968
192.40912	113.31446	520.95233	23.915878	227.68904	1.4362739	230.64352	225.39534	110.57143	95.9	23999	31128.65	308174.3	386.70413	-151.85881	-321.25235	112.919655	182.3659369945526
218.14029	43.34057	289.07034	38.78072	287.58374	9.291547	301.06747	267.5598	93.454544	115.1	25999	32039.775	317194.47	391.5826	-140.76509	-330.5392	133.93044	195.50576901435852
249.30067	55.849987	294.84622	34.159286	219.98491	9.618539	234.2885	201.2362	103.0	94.0	27999	33010.29	326802.72	403.4746	-171.92879	-340.12036	126.31375	208.65969562530518
170.75525	108.50357	356.50192	15.528183	287.3069	1.6617692	289.8902	285.02893	75.666664	121.6	29999	33575.13	332394.78	399.79312	-176.44302	-344.98386	133.00513	221.30656242370605
288.33377	31.756338	342.21332	208.061	242.77725	34.325466	342.43793	222.44366	125.3125	105.2	31999	33571.605	332360.06	403.46463	-380.2995	-344.6083	139.28209	235.30702424049377
316.26468	40.79911	387.93707	271.79608	176.76567	202.61569	492.26086	11.873511	150.83333	109.3	33999	33480.496	331458.1	401.54938	-170.49142	-343.04056	128.62772	247.71069860458374
457.42703	209.5913	721.5211	21.77644	933.9751	218.30922	1043.5352	457.53354	307.57144	861.5	35999	33196.68	328648.34	405.95258	-238.5436	-339.8227	118.190895	267.19032406806946
378.62485	365.62247	1047.8077	21.300209	145.67227	189.37027	476.63852	19.123102	273.14285	102.3	37999	33051.215	327208.22	408.77136	-153.3285	-338.17798	109.875534	280.94782972335815
244.4062	225.51553	817.8972	11.296686	356.7155	33.54901	444.9551	329.40152	149.0	160.3	39999	32898.63	325697.5	398.18335	-177.6318	-336.27576	111.76787	293.910129070282
356.81244	45.50582	422.75522	278.36044	275.6299	6.9135356	286.358	260.5054	146.92308	124.9	41999	32319.064	319959.84	396.43243	-252.47064	-329.93488	105.717674	305.79083251953125
358.70166	110.90159	523.27576	49.60728	555.9639	70.341354	710.0001	508.26425	161.08333	248.3	43999	31517.824	312027.62	392.7888	-164.251	-321.51303	109.16286	320.29212951660156
297.08673	344.2971	1021.12885	24.950718	1143.2272	380.38306	1924.4537	740.9684	147.3077	466.4	45999	30971.951	306623.38	391.93	-148.27454	-315.88007	103.379074	335.7981233596802
378.2081	494.96228	1528.7021	15.067091	912.583	345.1121	1644.3967	587.7462	227.5	500.0	47999	30826.34	305181.7	381.34988	-168.45743	-314.75726	101.488144	352.1959445476532
966.11786	279.66098	1338.6825	664.8917	1004.0122	16.240385	1010.66846	955.39746	477.0	942.4	49999	30853.834	305453.78	378.04407	-153.45847	-314.38382	115.269714	372.8768253326416
721.0208	409.9354	1535.4984	297.9558	1019.3353	7.574029	1032.1068	1006.09467	338.42856	1000.0	51999	30530.578	302253.47	377.3267	-180.40714	-310.9662	100.96287	393.93183851242065
272.50983	298.17154	973.69684	35.29186	141.16406	35.799126	178.13716	69.35376	212.8	114.2	53999	30360.805	300572.7	383.1117	-192.5726	-309.2432	105.93042	406.98538541793823
88.382324	42.57372	199.97777	43.610493	95.49783	13.043204	130.19969	86.1505	80.76	92.4	55999	30585.7	302799.1	403.955	-127.25571	-312.01462	118.38169	419.60544538497925
414.0372	354.761	1079.2987	100.04288	579.7121	352.48016	1128.0767	218.52466	377.4	470.0	57999	31459.861	311453.34	414.00192	-212.35501	-321.08368	129.43553	435.3646948337555
447.48514	267.30743	1173.4906	231.09541	449.61636	9.544978	465.8763	431.0543	230.22223	160.5	59999	32185.95	318641.66	421.3973	-140.95021	-328.11118	121.26437	447.88586235046387
423.2454	179.99103	913.3643	126.35414	390.04266	49.241714	491.83643	344.67087	159.38461	148.0	61999	32664.889	323383.22	420.72754	-216.27898	-332.8134	137.68387	461.36856055259705
658.96857	254.77327	1023.2248	268.00653	1268.0123	97.634094	1507.1356	1175.9613	225.33333	418.2	63999	33337.62	330043.28	420.66312	-158.31642	-339.79706	125.634445	476.56436824798584
437.96207	299.62125	1011.7351	187.48903	264.26797	70.80948	468.52487	200.08533	197.7	140.3	65999	33671.223	333345.94	424.55057	-242.37633	-342.5325	123.814186	490.73816180229187
228.21223	203.09842	879.9075	122.04859	98.95683	10.553946	125.927765	89.189095	162.0	95.5	67999	33839.426	335011.1	419.5481	-154.50221	-344.40436	132.76506	503.1989109516144
199.95467	156.13963	578.66064	14.580824	34.487972	54.255116	197.23045	15.660756	174.0	28.0	69999	34173.34	338316.72	423.39584	-143.06155	-347.67056	145.95717	514.7892768383026
255.4569	315.10782	1077.9554	12.01677	440.45758	59.46994	618.7121	418.07437	140.64285	175.5	71999	34255.27	339127.84	434.3303	-205.31407	-348.1147	150.66975	529.3084654808044
1023.63934	315.27628	1384.5566	616.459	1569.1176	25.555452	1608.8362	1523.294	468.66666	1000.0	73999	34026.74	336865.4	442.4078	-157.04796	-345.65283	141.19762	550.5756089687347
512.5077	378.28772	1416.2362	34.78575	26.035568	0.85043645	27.669212	24.525116	248.7	24.1	75999	34084.617	337438.4	462.38693	-159.82845	-346.47858	124.08593	563.362387418747
238.74715	206.009	639.63416	20.734787	814.1869	239.13571	919.43536	99.263275	101.47619	286.7	77999	34659.58	343130.6	466.37683	-224.4139	-352.68048	157.93872	579.0182893276215
509.71967	430.7539	1161.235	47.787266	940.75525	5.014796	951.2867	932.2987	185.33333	357.3	79999	35356.586	350031.03	465.12405	-210.64793	-359.83682	161.34187	595.3456513881683
508.58676	344.93015	1055.3933	152.79115	975.47784	172.89735	1036.3673	456.81213	360.5	929.1	81999	36083.133	357223.9	467.52213	-188.47964	-367.03345	158.67307	616.4419121742249
906.9385	323.76718	1416.682	602.16016	879.08875	69.00451	922.67975	681.23944	390.4	313.6	83999	36626.5	362603.28	472.0874	-141.32228	-372.41492	149.28928	632.1095108985901
363.57285	249.76926	1000.92645	37.995842	449.60733	17.36498	482.66483	431.87384	144.4	168.1	85999	37131.473	367602.56	467.53937	-158.13979	-377.66125	148.29482	645.9872145652771
476.1061	165.7583	743.4313	274.80148	297.88043	27.955013	368.37024	277.56888	188.4	147.5	87999	37604.223	372282.78	467.35257	-234.43369	-382.18677	163.14497	659.2675149440765
641.2124	374.51578	1147.8955	39.067314	538.1103	18.493652	559.75024	508.29514	244.42857	216.7	89999	37680.93	373042.16	479.42206	-270.29337	-382.44247	167.2255	674.0328545570374
544.50507	505.72318	1670.5178	41.476414	534.7856	524.28357	1565.2985	65.5798	227.6	230.8	91999	37764.258	373867.12	485.67276	-156.69568	-383.5067	165.58066	688.6431696414948
