AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
10.113661	6.0584626	35.81837	1.1614634	11.639261	0.28559396	12.050771	11.107059	21.021053	40.1	2000	1.4730388	1.4730119	0.039183166	0.0392398	1.7275263e-05	3.9152812e-05	0.00089988334	4.8132442e-06	255.9869	4079.786	1.3535111	0.6598623	-137.08867	2184.8594	6.6915574	-3.1976776	726.12665	16.628307104110718
55.671577	55.00308	286.44458	8.122312	114.175	1.4647633	115.56974	110.77904	57.64706	77.1	4000	4.9780483	4.978251	0.34194127	0.34431988	1.5401372e-05	7.677281e-06	7.380692e-05	6.0168336e-06	255.98648	4079.7917	1.2203363	0.79847676	-133.84952	2133.2366	7.0486474	-3.0700016	813.2872	37.71043634414673
115.95276	15.618799	136.06679	78.35887	152.83023	1.6658272	155.28923	150.94221	70.71429	83.9	6000	16.483215	16.48404	1.284008	1.359196	1.8373034e-05	6.2507906e-06	5.093207e-05	7.472343e-06	255.9871	4079.7954	1.2118076	0.78420013	-111.7108	1780.4088	7.0094643	-3.7885523	754.629	66.1333978176117
187.02435	52.095085	335.45065	125.99307	281.31512	1.7926091	283.4159	278.4307	94.190475	125.2	8000	31.786198	31.787926	1.531958	1.7425503	2.7491757e-05	7.883637e-06	6.905121e-05	1.2427277e-05	255.984	4079.7302	1.230665	0.8017357	-79.372025	1265.0281	7.456324	-3.4973361	800.7227	88.60226941108704
249.9158	46.66676	304.9104	165.11284	325.07495	1.4650897	326.62622	322.2528	114.5	137.4	10000	46.39516	46.396797	1.3554136	1.672657	4.474788e-05	1.4202318e-05	0.00013403597	2.1907714e-05	255.98007	4079.679	1.2797122	0.751967	-43.403416	691.8279	6.721098	-4.0857453	697.0624	118.0969169139862
322.66483	7.9934816	334.07495	302.90656	330.49298	1.2479647	332.6429	328.53625	136.14285	140.0	12000	59.393005	59.392834	1.6942688	1.9516194	5.6216657e-05	2.7022486e-05	0.00028891055	2.0352065e-05	255.97708	4079.6338	1.5635729	0.5474702	-22.259027	354.9487	6.785361	-3.8652751	819.76556	140.85238361358643
327.0299	4.401723	333.3858	316.8811	329.70932	0.6832292	331.68732	329.18893	138.53334	140.1	14000	71.60438	71.60466	1.8713701	2.2673445	6.723758e-05	3.0887775e-05	0.00034715707	2.496153e-05	255.97298	4079.581	1.3271533	0.58196604	-12.6646	202.20215	7.1058617	-4.289372	738.63776	170.03870677947998
319.37552	7.0168667	327.8538	302.895	315.68152	0.968429	317.24988	314.43253	135.6	132.4	16000	83.057465	83.05807	1.8823369	2.4779248	7.6474964e-05	4.5342815e-05	0.000627532	2.2155615e-05	255.97058	4079.5354	1.8116622	0.332712	-8.999232	143.92758	6.9339604	-4.600859	862.81586	192.66131973266602
312.39243	9.095046	333.00287	294.84024	307.7295	0.73122966	309.32416	306.8384	130.4	127.2	18000	93.61953	93.61931	1.9038801	2.5420146	8.8151246e-05	5.3258987e-05	0.00053613225	2.2688275e-05	255.96625	4079.4658	1.6765623	0.52007693	-2.6868274	44.60899	6.956428	-4.376056	806.2518	220.6308217048645
300.08942	10.427704	319.3719	280.61856	294.3584	2.1081848	298.4165	290.4504	123.375	120.5	20000	103.5675	103.567314	1.9661028	2.4371064	9.133448e-05	6.163483e-05	0.00062248134	2.3323959e-05	255.96037	4079.3555	1.6535642	0.4809733	-0.5976049	15.750324	7.3264527	-5.2427726	857.2641	242.92139220237732
287.4182	16.696665	330.79175	258.70566	282.8217	1.8506511	285.3708	279.75006	118.64706	116.1	22000	114.07397	114.07383	1.7607648	1.9496715	0.00011353154	0.00014661664	0.0020025526	2.2188946e-05	255.951	4079.2168	2.1079814	0.107804194	11.542699	184.41331	7.560904	-4.177495	755.7402	270.22802114486694
269.2522	14.3846035	313.17896	252.90794	272.12387	2.5314314	275.34952	267.72928	113.0	115.8	24000	124.320404	124.32059	1.8678575	1.8220214	8.5595275e-05	8.1426086e-05	0.0018370133	2.254346e-05	255.96272	4079.4116	1.5333744	0.37629595	26.372602	420.52344	7.8733745	-5.224926	840.76685	292.6484980583191
264.42874	18.249386	308.5203	238.95956	313.06613	5.6924224	320.4085	304.4895	113.94118	131.0	26000	133.82396	133.82323	1.9857147	2.0324976	0.00010928375	0.0001267814	0.0017374624	2.3126591e-05	255.95088	4079.216	1.6142595	0.15469374	43.52247	693.77	8.113793	-4.534921	758.67206	320.489951133728
315.077	28.784218	364.06952	256.1274	332.60077	4.8911004	339.10867	325.82538	127.875	135.0	28000	140.86649	140.86699	2.2113788	2.1844678	0.00011050239	0.00012387747	0.00137632	2.4835783e-05	255.9512	4079.2175	1.9062554	0.47910845	54.12695	862.75745	8.808638	-4.6471653	831.52637	343.1319921016693
327.83057	16.25456	350.76767	294.57776	324.95047	3.6024969	329.79575	317.55225	133.06667	136.6	30000	145.56013	145.55908	2.1981025	2.3283281	0.00012114011	9.86515e-05	0.0010818954	2.3528095e-05	255.94658	4079.144	1.6588683	0.36088052	67.597916	1077.435	8.822455	-4.3663507	717.0303	371.2189726829529
342.5319	20.67538	379.80203	305.67502	341.86685	2.178076	345.21686	338.0173	134.93333	137.6	32000	149.51881	149.51863	2.3406842	2.4844112	0.00010698083	9.696095e-05	0.0012451658	2.3308801e-05	255.95685	4079.3245	1.6373119	0.49807096	76.814865	1224.3223	8.691442	-5.3820972	832.445	393.9108474254608
322.32565	85.97006	382.8127	105.322495	355.69418	2.6884902	360.28726	352.30865	125.933334	139.0	34000	152.51334	152.5135	2.827743	2.7780273	0.0001025819	7.351347e-05	0.0009302955	2.3716735e-05	255.95668	4079.314	1.5141699	0.50490636	91.47066	1457.8899	9.684736	-4.496987	783.9573	421.6201124191284
363.55087	12.230828	377.00638	336.36462	371.83084	2.9381495	374.98822	366.9811	138.8	143.5	36000	154.52802	154.5279	3.0228975	3.1365483	0.00014387931	0.000170731	0.002254789	2.408864e-05	255.93668	4078.978	3.4366243	0.16451827	102.178566	1628.543	10.001484	-5.4278483	823.5041	444.42156505584717
385.17276	6.081652	394.53687	369.9621	387.63702	2.1048644	390.6289	384.7125	140.5	141.4	38000	156.54361	156.54411	3.0208778	3.1947305	0.00011286896	0.00015489093	0.001430676	2.37381e-05	255.95503	4079.2898	2.2077267	0.0870907	114.58343	1826.2405	9.744808	-4.7482324	782.8346	471.5697045326233
395.13876	9.31771	408.05795	369.49316	393.05817	1.1222166	395.4681	391.6464	143.35715	143.1	40000	159.46732	159.46802	3.1878922	3.1314926	0.0001300826	0.000113068774	0.0014346812	2.477838e-05	255.9466	4079.1462	2.2305145	0.28563485	127.983765	2039.8002	11.276306	-4.887343	853.20135	494.54042077064514
403.26144	8.195145	418.88782	388.95844	399.33694	2.1726286	401.81268	395.6347	144.71428	143.6	42000	163.0396	163.03983	3.3791313	3.5262392	0.00014432755	0.00014859143	0.0018905777	2.4926028e-05	255.9356	4078.967	2.1247563	0.29273817	136.27313	2171.9094	10.371016	-4.310968	770.09814	522.8330221176147
414.0698	15.924106	435.28897	378.41904	429.03262	3.644154	433.66043	422.3909	149.15384	152.6	44000	168.47343	168.47377	3.2267873	3.3661988	0.00014144159	0.000102227306	0.0010597075	2.4226762e-05	255.9379	4079.0093	1.7280729	0.25023887	144.8404	2308.4463	9.898565	-4.7351413	817.39795	545.8652215003967
438.5415	31.476988	538.5462	395.74146	436.9366	1.7525666	439.64667	434.11188	154.53847	154.0	46000	174.64719	174.64728	3.251113	3.2640955	0.00015602546	0.00014080363	0.0014074811	2.4350918e-05	255.93034	4078.8877	1.7373012	0.42004526	160.90677	2564.5	10.625833	-4.8318906	742.5601	574.2705121040344
491.33386	47.953526	571.2289	427.9274	488.15045	4.883075	497.7092	480.30618	165.91667	166.1	48000	182.21275	182.21274	3.9841537	3.8185394	0.0001629586	0.00013792858	0.0015451087	2.8539711e-05	255.9244	4078.7976	1.8040618	0.49330503	174.20177	2776.3865	9.934938	-4.822595	811.3288	597.4762921333313
