AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
26.337763	30.746468	194.1073	5.844387	39.232857	1.1720771	41.727997	37.190384	27.219177	22.4	2000	2.5430036	2.542994	0.051733214	0.052119642	2.6251877e-05	5.523632	88.05509	0.5699844	-1.3869072	5.5372715e-09	0.20767309	0.11556665	-0.12344033	1.0000842	6.723342e-05	1.0019081	1.0000008	17.93961	1035.8428	29.67962074279785
115.73933	41.218636	195.17557	54.233063	177.64326	2.5822105	181.45674	173.62111	63.83871	87.9	4000	12.192228	12.191841	0.46986884	0.47617853	6.8534064e-05	47.303787	753.92065	1.5610231	-2.9669445	-2.8312207e-11	0.2256839	0.14421952	-0.23282121	1.0000991	0.00015146084	1.0040551	1.0000007	48.216618	945.56964	64.71361565589905
209.11258	15.292573	243.73401	189.54037	235.99374	2.735721	240.50574	232.1771	93.333336	101.2	6000	30.824566	30.825403	1.0325373	1.0379946	0.00017009166	87.72518	1398.1337	2.140581	-3.7815254	-2.0837783e-08	0.24305892	0.22441226	-0.3914438	1.0001147	0.00025487156	1.0123776	1.0000005	47.83274	1231.3472	99.91959834098816
230.35971	41.97432	257.27893	60.624462	52.705284	0.87865645	53.50739	50.759186	100.4	33.8	8000	48.703167	48.703854	1.3319898	1.3341546	0.0002537475	108.40155	1727.6621	2.729421	-3.8309023	5.4337086e-09	0.24191822	0.31089014	-0.4321923	1.0001137	0.000254645	1.0138042	1.0000004	49.381226	1217.6531	135.92026352882385
262.7069	19.219503	296.05197	232.06693	188.68404	32.623066	236.72595	139.29095	107.210526	89.3	10000	63.776413	63.776962	1.591204	1.6318916	0.00029311478	132.1918	2106.8193	2.924968	-3.51888	4.3662265e-08	0.24164249	0.31747827	-0.63205206	1.0001135	0.0002857309	1.0201169	1.0000005	50.776104	939.40076	171.47404742240906
229.7864	48.5508	262.76236	38.443626	165.10265	47.55501	250.16788	132.1848	99.3	80.4	12000	76.01814	76.018745	1.9303668	1.9518456	0.00032344117	145.20918	2314.2832	3.397749	-3.4428082	-3.5749377e-08	0.24317376	0.41018686	-0.6394634	1.000115	0.00034582795	1.0352618	1.0000002	52.6348	949.024	207.9127802848816
196.8239	77.74541	256.84912	7.4893565	216.14944	15.564662	261.90598	206.09969	87.04348	95.6	14000	85.535385	85.53503	2.703976	2.7784705	0.00034968235	159.13943	2536.2966	3.3743525	-4.244231	2.2694469e-09	0.24242996	0.39300105	-0.63292134	1.0001141	0.00036563986	1.026323	1.0000002	56.513897	1034.0767	242.97363352775574
181.85834	83.63376	282.4481	10.882036	233.80627	4.2345123	239.3378	226.72478	81.04	99.8	16000	93.17908	93.179306	4.43379	4.4705114	0.0003163872	168.43904	2684.509	3.6937592	-3.78496	7.617474e-09	0.24266562	0.45896566	-0.59644616	1.0001146	0.0004156071	1.0609102	1.0	60.922874	1047.9266	278.1415958404541
224.72935	98.59144	315.5413	24.50216	292.0917	5.2424464	298.05157	280.37198	91.47619	117.5	18000	99.53659	99.53779	7.364104	7.293411	0.00038491076	183.29979	2921.3508	3.6791885	-3.6151495	4.1355193e-08	0.24032652	0.39189994	-0.68366784	1.0001123	0.000384233	1.0387405	1.0	65.07984	1079.0981	313.7916462421417
264.07675	41.81774	307.1321	132.21924	295.55713	3.5352929	302.37265	288.32703	107.210526	117.7	20000	104.376816	104.37706	6.5679674	6.5226464	0.00051666086	182.45876	2907.9463	3.5511887	-6.54756	-4.5742095e-08	0.2414162	0.59742516	-0.72206223	1.0001132	0.0004760207	1.0512393	1.0000002	70.98086	1073.0477	349.5603606700897
