AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
17.727835	14.440989	94.172264	5.0393333	20.016647	15.744206	61.30496	3.7053106	35.392857	36.6	-0.037341263	0.109911375	0.18554525	-0.61789155	144.90117	-0.0032742864	2.8013086	0.031928577	2000	7.115739345550537
44.01958	46.50405	252.04349	8.754386	38.199844	27.604933	93.392166	9.507547	47.47619	52.6	18.307196	15.59811	96.249886	-4.1394863	1589.9928	-0.0058509703	2.7982225	0.04096393	4000	14.18302321434021
74.995125	58.895702	273.37128	9.537159	66.41233	33.731434	136.87126	26.823309	63.833332	59.4	49.367252	31.66578	135.04747	-13.668982	2145.8616	0.0023361358	2.7722552	0.01961346	6000	21.219135761260986
93.89761	39.003044	191.57927	13.501936	109.06454	52.246136	216.0446	38.092278	66.36667	82.9	62.508728	25.697876	120.51631	-53.757076	966.0555	0.0013329344	2.7929893	0.011644129	8000	27.3590726852417
84.72498	27.845573	169.00371	31.69064	73.87861	25.414492	129.94913	50.524124	56.228573	46.1	57.764816	21.459862	99.58081	-22.401749	564.46313	-0.00605899	2.7701652	0.015256941	10000	34.8266384601593
102.416275	37.44125	237.84525	19.622496	113.49577	38.63791	212.94379	78.36967	66.1	73.2	57.026215	22.850002	93.31178	-14.393597	794.9419	-0.011533478	2.7555027	0.017783802	12000	41.48308992385864
144.5665	67.7278	258.22574	22.188065	167.87494	56.19145	249.77896	74.76123	95.3	102.8	74.62415	26.453955	139.65599	0.07598722	2932.434	-0.002489599	2.7473369	0.0144376075	14000	49.04059553146362
160.52904	61.020264	258.42856	60.135326	150.36465	93.30949	279.76953	50.06845	112.35294	106.1	104.42683	29.393364	154.15459	-19.731901	2581.563	-0.0062718727	2.7249675	0.008028892	16000	57.54560422897339
169.18883	83.27844	279.8423	52.81046	172.52988	67.02844	248.40442	49.769745	112.76471	107.9	85.71681	44.7786	177.16125	-2.931999	2784.243	-0.0121129975	2.7709374	0.018296398	18000	64.580561876297
197.82101	43.915783	274.4548	95.08935	210.4697	46.26881	281.17075	117.13352	119.375	127.1	137.83923	41.526253	216.70049	-0.9181181	1722.8854	0.0013295114	2.7575405	0.013666374	20000	72.30984902381897
155.76707	44.896446	253.26042	94.81321	167.19698	50.55396	233.0306	78.68674	89.0	92.8	120.08297	59.640118	211.06232	-42.34961	1313.9414	-0.006448192	2.7096977	0.009445354	22000	80.18255424499512
206.38098	50.106155	300.72668	93.97981	222.47607	25.416092	268.81305	174.41353	119.375	128.4	105.312096	37.398136	174.48863	-16.790636	1090.3531	-0.006922855	2.7269287	0.009037547	24000	86.8928472995758
221.51501	66.832375	295.10455	77.66985	231.02017	73.04055	397.25137	123.299194	139.78572	150.9	131.1686	56.10306	221.28894	-23.904718	1794.5295	0.0015081554	2.728259	0.009957228	26000	94.84944581985474
198.49216	89.6982	320.1166	27.652353	236.65181	45.22754	302.37897	148.11058	142.53847	165.8	135.3981	61.47477	268.36578	-11.340008	5202.577	-0.0077452064	2.8001964	0.012193978	28000	103.43220019340515
272.34775	64.41122	392.8973	170.2122	280.73746	70.09038	389.69763	115.0077	178.4	186.9	148.4849	56.726128	260.3362	12.106847	4356.0557	-0.003385679	2.7677748	0.008234176	30000	112.3899290561676
227.02377	51.713593	291.02936	122.79387	214.8968	47.079185	262.31845	134.07458	145.84616	133.3	167.1121	80.84983	293.7541	-61.46705	2724.1746	-0.008546716	2.7546077	0.00846713	32000	119.05678987503052
270.63086	79.44586	399.16272	117.24843	299.4163	71.02348	402.9198	121.5096	185.8	208.2	157.9519	57.16217	239.26855	-9.593338	3349.4233	-0.00648539	2.7397635	0.012451393	34000	127.9334831237793
234.22858	95.58334	359.85083	45.4841	269.33725	131.44695	514.5718	28.563507	179.63637	218.9	191.70793	54.47858	279.93192	-30.90125	4026.9102	-0.0036184706	2.7545466	0.009146662	36000	135.9310221672058
174.89462	97.263725	405.88065	35.437374	242.77136	105.87055	416.3812	115.43217	164.9	205.3	143.64862	45.47115	228.31662	10.785372	14122.135	-0.007308927	2.7267065	0.01188225	38000	144.52840423583984
373.1141	60.765705	495.0931	292.94672	299.3623	74.872116	449.10526	151.4698	277.57144	210.9	133.41827	72.526985	249.45276	-87.72938	1484.9636	-0.0044772434	2.7310638	0.010449751	40000	153.03433060646057
266.10538	90.969124	422.78363	137.80275	283.43323	72.959335	381.5199	89.07536	218.375	222.9	254.05707	63.924393	360.47028	13.38224	10676.106	-0.005621235	2.765151	0.0066279843	42000	162.38460969924927
211.68578	134.31895	522.325	46.113014	144.77065	105.055	385.13248	41.25736	220.66667	167.8	226.64185	50.425243	291.3769	47.134647	8131.7134	-0.023378562	2.7535205	0.0055618486	44000	170.15015292167664
231.80475	163.24529	472.4097	46.599377	369.5	213.62286	737.85406	58.5349	240.5	372.7	134.51616	45.416245	197.61026	-18.810513	17537.52	-0.006353385	2.6870408	0.008589052	46000	181.1733055114746
473.64658	178.7742	707.68585	238.9083	485.0468	199.22084	866.80145	219.41457	408.0	416.6	211.24739	46.253857	282.8689	43.884865	11698.854	-0.0064391894	2.6393392	0.008368901	48000	192.75615787506104
394.8423	178.62735	684.15826	210.28038	515.6102	120.59267	669.11804	303.03766	374.2	478.3	275.0547	61.00203	407.825	167.4952	9419.789	-0.02369174	2.71913	0.0063493564	50000	205.48670721054077
447.19727	129.38982	645.98474	298.46613	471.04193	260.08752	956.61334	41.741898	431.25	443.1	265.8796	109.76008	451.17697	33.43156	14963.8	-0.010336561	2.6348124	0.009334521	52000	217.18020391464233
293.0844	115.82822	553.60583	164.65866	505.16733	210.18588	690.45264	94.443504	248.875	418.5	371.68918	59.858765	463.2828	40.480145	10211.693	-0.0061688563	2.6962388	0.0055820015	54000	229.08602285385132
562.82574	52.89124	632.37146	504.204	651.6812	206.32391	1039.3373	404.7284	458.0	576.1	158.4254	47.90997	270.38416	36.43552	11014.134	-0.030129503	2.6591728	0.010996205	56000	241.1972291469574
804.0073	237.90527	1041.9126	566.10205	697.96484	189.26352	1039.2522	508.20953	728.5	605.0	336.2004	83.87999	495.34656	-51.41742	28702.234	-0.0087282695	2.6332786	0.009077668	58000	254.75420260429382
