AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
16.26765	9.715569	55.450394	5.393789	-1.5598986	0.20029669	-1.2344263	-1.9260185	20.989473	18.0	1999	167.41292	1657.4186	5.861979	-0.96128505	167.4081	1657.3708	5.8100424	-0.90663326	-2.0835812	0.024086319	0.024100475	6.333078384399414
18.126543	17.506376	140.359	4.8223763	-1.49246	0.31566924	-0.9212145	-1.8727552	21.340425	17.8	3999	545.17413	5397.3013	22.885525	-9.292472	545.1769	5397.3286	23.057606	-9.675188	-6.544744	0.13881949	0.14579642	17.026180744171143
15.663803	10.25118	66.13352	5.2421722	-1.572225	0.16882917	-1.225658	-1.7874491	19.441177	18.0	5999	1341.3453	13279.449	41.63997	-16.73229	1341.3278	13279.272	41.673656	-19.835663	-16.161648	0.8143224	0.85217744	28.04729461669922
15.980624	10.467399	74.25034	4.8329554	-1.391604	0.19920707	-1.1002762	-1.715971	20.212122	17.9	7999	2615.3455	25892.115	71.04535	-39.27041	2615.311	25891.775	70.99441	-43.20547	-31.401945	3.0699043	3.1818168	39.68980574607849
19.301708	14.287555	95.88792	6.573395	-1.5196472	0.25787705	-1.116435	-1.9459606	23.045977	17.9	9999	4491.4556	44465.695	123.009026	-62.361744	4491.3677	44464.82	124.67746	-64.362885	-53.042076	9.303318	10.089467	50.92840909957886
-1.1391697	0.49704385	3.0586927	-1.8292614	-1.2887754	0.3300582	-0.8162699	-1.8558341	18.045046	17.5	11999	5997.1577	59372.332	169.92754	-63.261524	5997.2866	59373.61	169.06688	-75.27554	-65.591034	13.468496	14.926113	65.60759997367859
-1.0790968	0.24652137	-0.39281592	-1.7319514	-1.1899316	0.3805859	-0.5603767	-1.8760803	17.936937	17.6	13999	4603.183	45572.434	171.77547	-105.408005	4603.248	45573.074	170.34917	-116.62317	-44.536846	8.683711	9.568462	79.6964955329895
-1.1491727	0.28350794	-0.42966577	-1.7171875	-1.4242792	0.18449473	-0.9770504	-1.6862686	17.964285	17.9	15999	2071.2822	20506.785	142.10838	-122.898224	2071.646	20510.387	139.3736	-123.64147	-17.380621	3.6959195	3.7750492	93.8154833316803
-1.1471422	0.24528603	-0.5109505	-1.8249329	-1.2083246	0.37094736	-0.615959	-1.8674626	17.963964	17.5	17999	383.0954	3793.7776	82.72079	-96.85382	383.31647	3795.9648	86.09204	-103.39121	-1.6962198	1.3270451	1.3242178	107.236825466156
-1.1845315	0.2565236	-0.5657139	-1.766784	-1.4207542	0.27378595	-0.9062	-1.7319684	17.963964	17.7	19999	-179.28278	1775.3258	27.381485	-73.40381	-179.33835	1775.8739	27.881416	-79.62087	2.5464926	0.4192776	0.45124146	121.57111167907715
-1.1553909	0.24026152	-0.6783014	-1.7118851	-1.3546474	0.2855137	-0.7682742	-1.7744792	17.964285	17.8	21999	-279.71002	2769.3088	14.584432	-22.076511	-279.7336	2769.542	14.883973	-24.04828	3.1679752	0.20914783	0.21471587	135.53663849830627
-1.1580548	0.26618823	-0.53552306	-1.6135904	40.51835	0.90246457	41.701767	39.41774	17.972973	23.5	23999	-273.13147	2704.1565	9.629667	-22.023338	-273.15048	2704.3445	11.279428	-20.871243	2.9948194	0.111437745	0.11187967	150.09807968139648
9.60856	15.516291	108.44208	3.5373948	109.24032	9.179891	122.58684	95.87306	9.291667	60.3	25999	11.711895	121.49535	15.776248	-17.426134	11.704284	121.41714	15.740984	-17.176865	-0.98088	0.20627604	0.19995698	164.81749725341797
117.0723	52.58942	220.48761	60.834854	141.71376	8.057152	160.89432	129.99689	63.0	73.5	27999	372.84744	3691.7896	32.06304	-7.8528886	372.88556	3692.167	33.11839	-7.927977	-5.1430554	0.37237212	0.35957423	179.5619854927063
200.50484	31.60913	223.55899	77.01319	191.4949	3.1151514	196.42299	187.61594	95.09524	98.8	29999	875.81586	8671.139	41.00121	-6.402909	875.8589	8671.564	39.746906	-11.584213	-10.454146	0.85555935	0.8564729	194.76410150527954
202.82605	13.027076	218.61021	174.58871	217.22705	1.7896843	220.91142	214.28131	98.15	104.7	31999	1401.456	13875.087	49.523285	-8.901928	1401.4572	13875.099	49.631054	-10.9244795	-16.184624	1.4581122	1.4521278	210.32262468338013
178.01802	79.421936	230.88638	9.668424	218.49649	4.4808426	225.35266	211.65118	84.833336	99.9	33999	2023.2651	20031.09	60.17971	-9.553777	2023.2775	20031.213	61.15991	-12.504274	-22.963097	2.369371	2.3371553	225.79352951049805
219.17696	6.954695	227.31999	201.11919	222.36172	0.8096881	223.22774	220.38206	99.55	98.9	35999	2665.8088	26392.365	71.42051	-18.114168	2665.7632	26391.91	71.07601	-16.93006	-29.529375	3.2624075	3.2155216	240.6901774406433
197.12291	48.849102	229.67464	59.31551	192.04294	14.119257	209.85867	171.31873	93.36364	102.7	37999	3250.1072	32176.99	80.66508	-15.419586	3250.1233	32177.15	81.01028	-17.320137	-35.602173	4.0957084	4.0587378	256.12211179733276
181.24544	11.100991	205.67569	159.75853	163.962	2.0249934	167.27269	160.2125	95.190475	88.0	39999	3785.5315	37477.75	88.4079	-28.008802	3785.4873	37477.31	88.57545	-29.659052	-40.84795	4.8736534	4.8076267	270.93597507476807
183.19507	30.242653	219.5815	63.2236	200.53502	3.2357485	204.76332	195.36519	94.61905	102.1	41999	4345.1973	43018.496	95.73029	-21.437996	4345.1255	43017.79	97.06477	-18.041685	-47.09249	5.386576	5.309827	286.62191891670227
208.16467	11.392154	224.5248	186.2246	222.8252	0.98558074	224.20874	221.8292	100.0	99.4	43999	4953.9893	49045.535	106.43177	-34.96719	4953.9795	49045.438	103.89003	-24.69364	-53.393116	5.7459145	5.715843	301.81467747688293
215.97624	8.529366	225.21072	198.66301	199.66356	0.9766317	200.8218	197.78587	95.47619	87.8	45999	5520.536	54654.4	117.33669	-29.587603	5520.6123	54655.156	118.36114	-27.102064	-59.455837	6.379564	6.363639	316.89048051834106
192.73708	52.737255	229.08098	24.186321	217.62137	1.0800759	220.06259	216.31612	87.08696	99.6	47999	6034.5195	59742.875	122.78017	-33.65708	6034.3804	59741.496	123.86158	-41.227425	-64.518	6.9630213	6.900791	332.52440333366394
221.82938	8.436549	237.18263	208.58665	230.22896	1.6032686	232.19206	227.61539	100.7	104.2	49999	6526.1606	64610.17	132.89941	-37.649445	6526.0483	64609.06	133.25644	-43.801834	-69.53545	7.4070683	7.4836025	347.9239137172699
235.15935	23.357199	327.24362	224.49382	223.16891	2.497793	227.80507	220.01146	110.611115	101.9	51999	6963.561	68940.48	137.24422	-29.485817	6963.593	68940.8	136.13661	-35.137165	-73.805786	7.469653	7.4808316	363.06062483787537
