AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
19.93121	18.006264	102.74751	4.7315044	44.837437	0.8247892	46.032043	43.922565	24.775	26.4	2000	924.7712	14738.582	19.419926	-1.6182132	924.70404	14737.513	19.519594	-1.6928543	-382.09766	6089.7036	6.1274424	-9.090373	-4.126379	0.039909087	0.041912798	3777.8767	8.079981088638306
15.397139	8.572326	46.274113	4.840936	40.139935	0.5118897	41.51053	39.635033	20.540817	23.1	4000	3347.6863	53353.89	62.886803	-5.270663	3347.7083	53354.24	62.699574	-7.1282167	154.92876	2469.3684	12.182111	-12.435767	-14.835512	0.2012114	0.21417384	3835.509	20.0966739654541
17.834034	17.941109	150.05788	4.2161193	39.91615	2.0976772	44.139393	37.130222	22.2809	22.5	6000	10478.139	166995.69	155.06606	-29.050316	10478.095	166994.98	155.19307	-31.842897	730.5974	11643.95	17.095345	-13.4877825	-46.973827	2.1785476	2.295946	3914.1443	31.360461235046387
20.887257	18.084127	125.56306	5.815081	93.82793	0.521226	94.531624	93.012596	23.927711	53.6	8000	24615.217	392305.62	316.8466	-202.1125	24615.105	392303.84	319.66595	-194.43398	1181.5715	18831.338	24.025864	-11.696196	-108.950485	10.629933	10.5203495	3888.199	43.80077409744263
16.707901	10.664254	56.281624	5.976014	206.62077	1.9447898	209.78358	204.30396	20.87629	92.8	10000	50833.92	810166.6	541.462	-119.14196	50833.004	810151.94	539.38416	-119.4132	1499.969	23905.803	35.93627	-12.593948	-222.14032	50.649624	50.718266	3927.509	56.503034591674805
220.67804	95.6929	506.27383	17.515038	120.562195	1.3018125	123.375885	119.3808	115.588234	67.0	12000	90392.8	1440636.4	723.4883	-211.04633	90390.38	1440598.0	738.4243	-161.21358	1750.3237	27895.836	74.268425	-11.019694	-385.98587	181.95213	177.6198	827.83496	71.49775290489197
225.83675	69.2432	320.914	97.54327	205.06474	91.361275	318.55463	122.295334	113.64706	101.0	14000	118265.7	1884860.6	720.56366	-192.98799	118263.99	1884833.4	728.6513	-178.21724	1625.8024	25911.303	68.88291	-9.847553	-488.8204	235.36057	226.1174	799.2185	86.11489248275757
315.0806	52.55153	435.18845	215.41577	305.26987	5.32054	312.61166	297.36975	149.71428	151.7	16000	125427.42	1999000.5	771.97955	-333.3041	125425.69	1998973.0	764.92377	-272.2102	1381.1633	22012.377	70.7602	-11.79005	-512.5973	212.37538	204.60399	811.4962	101.76417183876038
322.22488	157.31061	534.0618	37.075108	303.30612	110.32123	446.4531	179.13916	187.2	243.7	18000	128148.22	2042363.4	722.1316	-366.93405	128148.75	2042372.0	725.9042	-255.6935	1410.6031	22481.566	60.37254	-12.549382	-521.1328	189.99593	178.88669	826.5724	119.53799033164978
217.10493	77.9115	300.41602	16.89913	185.67403	8.842888	198.5023	174.91826	118.166664	98.9	20000	125755.08	2004222.9	685.0907	-669.20935	125754.484	2004213.5	695.4538	-644.09174	1256.4344	20024.518	64.51203	-10.294832	-508.28925	161.46375	150.50143	794.01575	133.97998523712158
