AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
87.96753	16.667694	145.43855	66.85131	69.25831	3.1959836	76.39918	66.73357	18.472221	14.5	2000	14.2969475	14.299699	0.28132018	0.2848007	5.7899736e-16	16.465672	6.9677286	28.185005	4.0773273	-3999.0176	63734.355	-7.9914584	-38.671265	526.9035	27.369301557540894
88.34399	15.581865	139.8375	66.94128	71.1823	5.895187	81.25083	61.99672	18.394495	14.9	4000	37.581856	37.582638	1.341597	1.3576411	6.193173e-16	55.013813	19.783457	103.23655	25.811089	-3999.5833	63743.4	-7.833123	-40.067444	543.9935	63.524232625961304
87.28439	18.469109	163.67293	66.80672	68.78462	4.904489	81.34194	62.04677	18.229359	14.4	6000	45.801586	45.80148	4.429117	4.3840957	5.725199e-16	161.57175	35.20952	225.60738	88.77561	-3999.3284	63739.316	-7.840329	-39.247875	549.7283	100.09602689743042
86.59759	15.5733185	138.62807	71.44379	67.89723	1.9529836	71.80948	66.77564	18.135136	14.2	8000	42.546814	42.54708	6.1206403	6.1361704	5.9348893e-16	211.70775	9.322446	242.4655	184.95113	-3999.2693	63738.363	-7.739978	-38.37316	534.13837	136.49449133872986
88.16901	21.13687	183.0758	66.816925	71.23295	4.5936375	81.552025	66.69613	18.38889	14.9	10000	40.73715	40.737804	4.6793675	4.674313	6.539112e-16	218.71567	10.193225	267.18085	187.15805	-3998.9053	63732.594	-7.798081	-37.87204	557.7454	173.02889251708984
91.23144	21.568989	196.41577	66.75444	69.79213	4.414367	81.44801	66.78079	19.066668	14.6	12000	40.521305	40.52258	4.2500205	4.229711	6.4633876e-16	217.99458	8.793417	258.09827	191.57748	-3998.9167	63732.777	-7.6592646	-39.73041	565.02747	209.41336870193481
94.541504	25.89565	198.37454	67.020515	68.77644	3.196744	76.485016	66.74816	19.666666	14.4	14000	40.66684	40.66932	4.3512297	4.327487	6.4786347e-16	224.1988	9.375385	264.90973	195.98892	-3999.062	63735.074	-7.7425094	-38.485413	561.7425	245.7841386795044
92.17469	23.740637	182.11066	66.5254	70.747696	5.1463547	81.12885	66.790115	19.240385	14.8	16000	40.473125	40.474075	4.505904	4.4099545	6.6281953e-16	235.74878	8.982296	271.5251	209.8549	-3999.3345	63739.395	-7.788073	-39.01569	555.6612	281.99918031692505
90.123505	25.00942	186.34554	67.027626	70.83471	2.9003432	76.58956	66.88946	18.839622	14.8	18000	40.20578	40.206985	4.5579543	4.5136127	6.642833e-16	239.43422	8.940051	273.001	210.69438	-3999.76	63746.168	-7.8418517	-39.23652	547.2037	318.5914947986603
86.82581	18.789429	194.52544	71.414024	68.36111	2.2047904	71.881645	66.68361	18.145454	14.3	20000	39.843838	39.845768	4.4696984	4.4227953	6.770384e-16	238.7354	8.405455	272.46802	209.43864	-3999.1917	63737.133	-7.8308997	-38.324707	555.9956	354.85240411758423
87.27465	19.26247	189.81496	71.2615	69.80514	2.4010036	71.95789	66.79769	18.366972	14.6	22000	39.47622	39.480267	4.3428397	4.266809	6.9726037e-16	235.69688	8.52422	266.0561	208.541	-3999.3855	63740.207	-7.881336	-40.808674	558.08545	391.25128626823425
90.21983	23.698547	204.65642	71.36154	68.82319	3.153742	76.31474	66.66331	18.886793	14.4	24000	39.321022	39.32362	4.3092575	4.2488446	6.715034e-16	235.23956	8.435346	264.07004	209.11592	-3999.1565	63736.605	-7.7891235	-37.88259	563.3212	427.52908992767334
96.45828	32.50714	216.28334	66.847374	70.19209	4.3313866	76.44828	66.66936	20.151516	14.7	26000	39.155407	39.157127	4.3214617	4.323117	6.7567114e-16	236.9906	8.219052	270.56995	211.32942	-3999.016	63734.344	-7.691043	-41.193058	567.2576	463.8736364841461
89.62338	21.29052	203.27626	66.96393	70.155464	5.533835	85.46157	66.690834	18.747663	14.7	28000	39.214985	39.217476	4.3631115	4.2969713	6.6712336e-16	237.48872	8.283481	265.64902	212.94157	-3998.983	63733.79	-7.6733193	-40.60161	548.4394	500.21704864501953
89.05552	22.768444	223.1106	66.935	68.780396	3.1578307	76.26094	66.741646	18.598131	14.4	30000	39.128452	39.13143	4.484038	4.3869386	6.6023444e-16	242.36357	8.3462515	267.65536	217.67772	-3999.6064	63743.72	-7.96025	-41.366077	562.061	536.4219717979431
91.72027	23.189486	194.64586	66.90974	68.769775	3.872141	76.45665	61.974308	19.201923	14.4	32000	38.98416	38.984688	4.5699472	4.49029	6.608003e-16	247.24603	8.374808	272.9521	216.46371	-3999.1592	63736.637	-7.857648	-39.219086	574.2424	572.9778940677643
90.60866	26.837965	279.59512	67.034676	68.78248	3.213851	71.8337	62.095364	18.962265	14.4	34000	38.71747	38.720257	4.62683	4.5852885	6.442672e-16	247.60329	8.456273	280.30753	218.1896	-3998.7097	63729.438	-7.708301	-41.590412	559.93475	609.4614608287811
93.44929	21.96447	160.4904	66.7827	69.286896	5.4449186	81.518166	62.189938	19.607843	14.5	36000	38.67775	38.678722	4.5427394	4.496746	6.4096524e-16	246.73012	8.292983	281.4477	217.51495	-3999.188	63737.11	-7.7303357	-42.032745	553.1415	645.9148054122925
93.381676	27.471209	228.87042	71.40919	68.75272	5.405974	81.39118	62.0722	19.514563	14.4	38000	38.77197	38.77388	4.5864797	4.51757	6.4347976e-16	249.2268	8.116715	275.50064	222.5664	-3999.6472	63744.39	-7.6406026	-38.811306	564.1819	682.6282458305359
