AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
142.87593	44.070133	260.992	71.57235	151.22578	17.162834	179.20444	119.4514	30.738462	32.9	2000	12.888718	12.908158	5.5199847	5.202835	0.04762666	-3.8385803e+19	inf	223.43636	-2.5092421e+20	1.4635623e-07	0.23739272	0.15643992	-0.15173773	1.0001101	0.0001345335	1.002329	0.99999696	6.0260553	532.07336	59.12905550003052
121.15791	29.785112	212.45432	75.26779	100.07511	8.500342	112.94129	88.64427	25.948051	22.5	4000	34.852077	34.853737	2.9025817	2.5468583	0.00010791425	5627.9106	89695.914	266.9817	-0.6657229	2.8013066e-08	0.23642637	0.13792163	-0.14937659	1.0001091	0.00012486038	1.0017277	0.9999987	12.606311	566.5455	147.72882437705994
159.72966	73.463905	404.87442	72.71517	325.7498	39.026367	382.91446	263.93954	34.142857	65.2	6000	52.86942	52.87002	4.6776347	4.4190445	8.923037e-05	5819.4644	92748.74	272.42136	-0.5621376	-6.315261e-08	0.23069933	0.12446548	-0.14192453	1.000104	0.00010319835	1.0014561	0.99999875	22.831663	635.458	213.76282238960266
293.21265	74.88331	511.31927	124.84523	361.38675	57.531807	518.92035	298.48477	61.205883	71.5	8000	68.24636	68.247375	6.586042	6.207462	0.00011651091	6308.5586	100543.55	276.0887	-0.54460055	-3.861338e-08	0.236156	0.13324474	-0.19955301	1.0001084	0.00012169641	1.002096	0.99999845	22.917461	600.07574	279.6374578475952
339.41302	63.433613	563.6387	239.51515	361.05774	48.77993	466.6017	316.28516	68.13793	70.7	10000	81.68814	81.69011	8.353885	7.8640375	0.00013490069	6642.0938	105859.1	276.5532	-0.5060305	-1.6587713e-07	0.25383076	0.20574108	-0.21655466	1.0001256	0.00022373977	1.0037522	0.9999981	23.362547	588.63074	345.2140574455261
397.79504	138.59346	916.1093	140.64493	452.84137	45.783497	533.49634	391.19073	80.08	89.6	12000	94.51002	94.50945	10.251532	10.225492	0.00023903468	6820.625	108704.43	275.3459	-0.19763653	-1.7777085e-08	0.25224364	0.15626813	-0.31637383	1.000124	0.00017983424	1.0043449	0.9999976	22.29316	542.43866	413.3691952228546
376.1781	66.540886	571.9926	260.60886	329.14218	28.631613	375.31717	267.39838	74.85185	63.6	14000	106.298645	106.301704	11.696943	10.909631	0.00027501828	7103.3784	113210.67	281.1197	-0.016081866	-4.639849e-08	0.2568111	0.2176321	-0.35629523	1.0001283	0.00019115211	1.0054948	0.99999744	19.54759	646.2301	471.25519585609436
346.69922	46.508396	428.43823	249.28859	306.2065	15.96252	332.21667	277.49084	67.24138	58.4	16000	114.7116	114.71167	13.624105	13.024012	0.00054321554	7098.7334	113136.586	291.77805	1.0263318	-2.742678e-07	0.25994006	0.20787796	-0.3453104	1.0001315	0.00020368164	1.008836	0.9999973	21.439995	525.5629	538.0586776733398
282.5428	36.44221	361.6554	209.53531	254.39034	15.264508	275.86584	222.24785	54.210526	49.4	18000	119.1211	119.11928	14.85238	14.717285	0.0005342817	7199.115	114737.625	314.21747	-76217.42	2.1292121e-07	0.26417553	0.22318512	-0.42040947	1.0001359	0.0002212186	1.0093968	0.99999684	21.226156	547.21606	604.5675323009491
267.944	36.193306	375.3512	207.22734	284.2813	37.01436	346.25467	232.26634	51.973682	56.6	20000	118.79396	118.79103	15.419157	15.426678	0.000652708	7061.653	112545.625	356.69363	-349.8898	2.426436e-07	0.26384857	0.21977536	-0.3350355	1.0001357	0.00022195188	1.0052818	0.9999973	24.764359	559.12823	671.4522626399994
