AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
0.97148496	5.115137	17.28205	-12.740766	-10.359222	2.2401657	-7.2778044	-13.202464	19.30097	69.0	2000	2.9093504	2.912001	0.083902374	0.07122749	-4.59444	30727962.0	14346674.0	63468090.0	2585586.5	4399.124	7.885698318481445
1.7387409	5.420911	15.6907425	-10.447404	-10.431074	1.703763	-7.581293	-13.89285	22.155556	68.7	4000	18.138376	18.138634	0.65923816	0.6525001	-22.248383	131167880.0	62166744.0	330201730.0	48036656.0	4093.7615	18.34788990020752
1.9567897	5.93773	27.286438	-11.079835	-10.545934	2.0745745	-7.2079763	-13.330507	20.272728	68.7	6000	55.8863	55.887928	5.036922	5.034047	-63.79101	411997500.0	109461320.0	726648960.0	166574130.0	4038.3096	28.950277090072632
1.8577821	5.796492	26.51099	-8.370221	-11.052807	2.6531644	-7.5700383	-16.395302	20.272728	69.1	8000	78.56499	78.566574	22.307472	22.202986	-76.47777	643698240.0	104257580.0	946885700.0	383708480.0	4064.2524	39.52258372306824
1.5386488	6.4950724	33.69825	-9.229791	-11.264341	2.5111725	-7.4723	-14.331277	20.121212	68.9	10000	-148.05418	-148.0351	121.432625	125.55309	200.11926	1128289200.0	467651900.0	2607633200.0	510825820.0	4016.8032	50.200899839401245
-11.338695	3.0214686	-7.0127506	-18.78506	-10.757194	2.3799415	-7.1939917	-13.947626	69.06896	68.8	12000	-434.36346	-434.3466	280.20142	283.45038	470.90143	2981805600.0	539157400.0	4542336000.0	1656088300.0	1812.6727	61.41205978393555
-10.619199	2.8829432	-6.9434237	-15.995301	-10.290403	2.5695515	-7.307785	-14.439412	68.75862	68.7	14000	-426.9361	-426.9337	181.4612	184.12112	442.58676	3385221400.0	474236060.0	4949183000.0	1519387400.0	1826.149	72.53776097297668
-10.940492	2.483157	-7.3256135	-15.946398	-9.060946	1.6639073	-7.4125056	-12.763559	68.93104	68.5	16000	-330.65097	-330.6446	103.23588	105.28835	339.03174	2797081600.0	543113800.0	4657484300.0	1313173600.0	1802.1794	83.7517409324646
-10.244113	2.4784677	-6.8539176	-15.301612	-10.870359	2.1679263	-7.809644	-15.050894	68.793106	69.0	18000	-246.11366	-246.10928	49.94207	51.086296	254.0586	2302694000.0	477657380.0	4035534600.0	783057700.0	1818.1825	94.9445641040802
-10.513996	2.5932808	-6.9501505	-15.392951	-10.246327	2.076067	-7.567842	-13.356226	68.82758	69.1	20000	-188.3608	-188.35732	30.564028	31.912195	195.42113	2023544800.0	440266700.0	3707819800.0	746236400.0	1811.314	106.13439893722534
-10.2186985	2.1172616	-7.0835795	-14.258916	-10.944265	2.281895	-7.5892034	-15.452038	68.86207	68.8	22000	-143.50783	-143.50421	26.888136	29.109013	148.19412	1871934600.0	460189700.0	3714652400.0	725302800.0	1819.0422	117.3638551235199
-10.367256	2.2975016	-7.153423	-14.146615	-12.55997	3.3751676	-7.6571827	-16.549368	68.93104	69.5	24000	-100.65507	-100.653275	23.904285	25.858541	102.72014	1766142500.0	488930750.0	3595514000.0	594816000.0	1837.6735	128.49656915664673
-9.55287	2.0503128	-6.888486	-13.361058	-10.241727	2.1020868	-7.67274	-12.91611	68.413795	69.0	26000	-62.542496	-62.54306	20.911644	22.281021	62.559517	1544699600.0	466100060.0	2997950200.0	494484740.0	1827.5345	139.6229350566864
-10.936093	2.3556545	-7.256062	-16.005417	-10.734602	2.5244806	-6.998606	-14.781815	69.034485	69.0	28000	-40.444443	-40.4417	20.29996	21.23225	40.65997	1463294300.0	485687460.0	2940837400.0	471140640.0	1813.2325	150.77120542526245
-10.899951	2.7387946	-6.82251	-15.255052	-10.389859	2.1025321	-7.000724	-14.039631	69.034485	69.1	30000	-33.881313	-33.881	16.877333	17.278559	34.56442	1477631400.0	520735260.0	3298736400.0	517041820.0	1811.699	161.9805235862732
-10.647479	2.0435483	-7.4255776	-13.943135	-9.668432	2.5423083	-7.5375614	-14.099606	68.89655	68.5	32000	-33.9353	-33.934555	19.452972	18.281641	35.096115	1663845800.0	623039040.0	4204587300.0	455074370.0	1816.9534	173.1465756893158
-10.628049	2.8423383	-7.28357	-15.802535	-12.654419	1.6562582	-9.46841	-15.050825	68.86207	69.7	34000	-36.88394	-36.885067	22.030054	23.531012	38.14699	1961733900.0	778983040.0	4957604400.0	614782340.0	1810.0496	184.331627368927
-10.4312105	2.0032902	-7.480158	-14.07405	-10.1035385	1.7292161	-7.6373224	-13.142681	68.93104	68.9	36000	-38.115208	-38.115902	21.788115	22.25321	39.153397	2222695400.0	952054000.0	5566556000.0	525267070.0	1788.9523	195.91352605819702
-11.270914	2.4848225	-6.680209	-15.435121	-10.055317	2.2756953	-6.976469	-13.527805	69.034485	68.7	38000	-37.935074	-37.93436	24.09939	24.331106	38.849445	2418115300.0	1069821400.0	6150931500.0	621243840.0	1730.67	208.1425769329071
