AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
1.8408514	5.712509	22.721222	-8.954804	-5.202792	0.053637516	-5.080265	-5.2745233	20.329897	6.0	2000	-0.575101	-0.57673824	0.043625765	0.0526474	0.00011396836	8809.452	4733.27	18079.492	763.5684	493.28308	581.2361	3831.482	-9.117778	3845.542	10.273003578186035
2.2141635	5.946625	28.465338	-8.6699505	-3.375805	0.18978995	-2.9203665	-3.6035032	20.14	8.0	4000	-3.2944903	-3.2941172	0.3512986	0.3567496	0.00026007107	15017.62	4886.3965	26984.418	5631.3857	451.93658	446.59308	2943.378	-7.0912905	4143.703	22.649129629135132
2.245847	5.8107862	22.29372	-11.064253	-5.3948274	0.1486683	-5.144264	-5.610998	22.066668	13.2	6000	-6.590394	-6.5898547	1.3643771	1.3884666	0.000316126	24813.396	6413.9424	43845.88	11957.168	292.85696	207.07443	1659.2313	5.043018	4415.8057	35.01253414154053
2.0108707	5.261457	23.637625	-7.3653884	26.946436	3.9622025	34.965714	22.98424	19.307692	39.3	8000	-4.07603	-4.0764947	0.74888575	0.7645706	0.00032101947	16753.746	7619.0034	36716.516	5505.022	1151.019	1094.4227	10051.872	16.915627	3931.688	47.211615324020386
1.058003	5.4144998	22.60533	-9.475623	2.1419983	0.5341878	2.7780604	1.0683483	19.38835	38.7	10000	-0.75244296	-0.75268024	0.110545866	0.11425723	9.947373e-05	8683.816	2224.5178	14239.051	4836.2603	1327.7935	1042.9636	7915.256	51.653122	4067.2593	59.915778398513794
-8.791385	35.446068	88.09128	-92.24686	-10.668347	4.5120106	-4.2912464	-15.656063	68.793106	69.4	12000	4.6717095	4.6717978	0.5355575	0.55117124	-0.00030875328	16927.592	2966.5273	24064.23	8725.757	1304.8096	929.10675	6498.2383	41.57414	908.0881	75.49368500709534
82.545235	101.59818	391.26416	-16.584524	79.36242	19.28165	109.25142	53.097763	165.58333	192.8	14000	5.9338026	5.934186	0.68286556	0.7020154	-0.00038461143	16908.06	2375.5413	23949.814	11526.919	679.37976	554.31976	3818.2134	-2.4099922	841.2091	93.74985146522522
61.91475	6.8841586	73.69951	53.819744	88.18249	18.243788	121.42516	70.12794	175.0	202.3	16000	6.972571	6.9730444	0.6193729	0.61153054	-0.0003841219	19776.48	1776.1837	26040.545	14245.083	1578.8815	1645.1547	12901.03	-1.7675438	880.6474	111.71389412879944
115.67436	98.410446	405.1794	57.745846	103.7502	42.928467	214.39536	63.569065	205.9	218.0	18000	8.685213	8.68607	1.0280563	1.0157179	-0.00036728388	25957.328	3318.9373	37602.164	17692.29	2096.096	2322.4055	13902.943	6.649295	747.42285	131.65293669700623
85.903885	13.0746975	108.79222	65.3515	167.23567	119.00264	375.58524	63.59071	199.7	210.1	20000	10.840363	10.841124	1.1477079	1.1466179	-0.00038208402	31017.14	3014.696	44708.21	22542.377	2492.4517	3001.3213	19510.867	5.595048	974.0781	149.69804286956787
160.54475	102.22829	306.6243	70.357574	85.74065	28.601948	160.17638	52.26718	142.71428	199.4	22000	-1.1987896	-1.1971873	3.4551165	3.4182303	7.713606e-05	44529.11	23038.426	104619.37	18010.172	2234.3652	2605.6072	17623.566	37.9712	789.74414	168.57278609275818
75.02487	16.452074	99.41125	54.01299	210.906	68.09273	273.15857	75.31847	188.33333	329.8	24000	4.7887554	4.7881002	1.6224624	1.6323353	-0.00023886691	28043.62	3672.354	39095.38	17415.818	3380.8767	4028.8782	36945.758	18.304956	955.4926	188.65073776245117
88.36284	78.56715	259.91666	-13.800832	127.717674	132.01207	517.70526	59.37661	173.53847	217.9	26000	3.9449813	3.9457018	2.552069	2.4672315	-0.00014376889	29462.271	6019.123	50160.375	17413.05	5002.884	5641.203	48168.406	73.85926	765.9203	207.68469953536987
78.2021	32.133137	155.0212	9.300467	100.21228	6.4963408	110.7932	89.41515	128.0	87.0	28000	8.168955	8.169067	1.8540661	1.8519243	-0.00033757262	25376.064	3509.6343	38228.18	16093.925	4883.814	5796.8853	54232.9	154.16293	769.8305	223.29907393455505
94.35289	150.27039	480.62177	-15.410101	-10.613131	0.9518525	-8.346861	-12.193124	124.75	67.1	30000	5.2454863	5.244643	1.9819765	1.9983842	-0.00025588978	25208.13	9818.3955	60505.273	13369.383	4089.503	4229.734	38708.21	253.85498	740.796	240.14966750144958
-8.073383	7.449899	30.169031	-14.47331	-8.666249	0.82332957	-7.7289524	-10.325827	69.62069	67.1	32000	-14.463192	-14.46371	3.4415748	3.4521098	0.00055641285	30941.064	4773.118	46630.47	17347.389	3920.143	4028.6125	28015.473	188.86623	861.75397	255.84683322906494
103.176575	125.17688	299.35547	-99.655556	-123.077774	104.36671	64.678696	-264.6007	120.29412	153.4	34000	-28.075062	-28.074156	3.89012	3.8364708	0.0010292906	30288.92	7390.6646	54470.61	15722.528	2936.593	2764.1921	22117.133	57.034657	868.78687	273.84575963020325
-10.0009575	22.967394	91.95102	-75.53678	-15.792547	0.17808415	-15.48272	-16.081228	33.3	13.8	36000	-46.270115	-46.269756	5.635596	5.433203	0.0010238695	52021.113	12053.64	86170.766	29124.223	4615.9004	4544.3105	49857.324	104.99681	943.1208	288.36591720581055
-17.784548	2.172816	-10.306483	-20.406555	-13.224518	0.25794896	-12.832472	-13.64907	12.534591	15.0	38000	-50.3631	-50.363506	5.876712	5.7240033	0.0011909563	43328.348	6551.8486	66162.98	25179.82	6268.1074	6269.8306	57423.523	131.62845	811.46313	303.69201946258545
-1.996149	23.627632	96.004875	-17.399017	-15.549594	0.3907906	-15.036648	-16.060238	26.43421	13.0	40000	-32.20638	-32.205814	5.356296	5.226993	0.00091127283	37436.176	7055.7476	61073.555	22803.877	5162.242	5959.453	54045.695	28.232573	899.17377	318.5793979167938
