AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	StepsPerSecond	Time
2.2850468	6.6224732	24.266209	-9.596764	73.89964	19.40908	126.77265	55.385815	22.65909	187.3	2000	2.7762659	2.7773368	0.07270245	0.06767269	-4.881333	2490.201	28.83528232574463
2.3761795	5.405687	25.320368	-6.456775	80.805984	18.961924	109.26817	51.80324	21.329786	194.1	4000	22.975416	22.975517	0.87351036	0.8537694	-27.818678	2512.167	68.98512482643127
2.1909232	6.7635913	42.681355	-11.678902	196.29337	102.936584	413.275	46.57324	20.936842	237.6	6000	56.737183	56.738995	3.4847867	3.4126835	-64.34794	2447.109	109.33216691017151
1.3447491	5.291116	16.34295	-10.864919	-10.765747	0.58042186	-10.158342	-11.861817	19.588236	35.0	8000	92.46981	92.47053	10.804428	10.952075	-102.0183	2475.1348	146.89758133888245
1.7693107	5.4752927	25.16045	-14.023004	257.74695	151.059	475.28833	86.201904	21.0	242.4	10000	138.6559	138.65411	18.646395	19.285225	-152.96848	2492.1006	188.20053100585938
59.22378	69.61058	308.03488	3.2315407	26.48644	51.689545	93.93423	-52.61739	71.82143	109.4	12000	187.3265	187.32248	37.47032	38.32872	-200.31346	801.68353	226.95256805419922
0.30739453	65.66783	172.56091	-140.7873	82.581955	67.791115	174.54126	-100.1013	88.36364	96.6	14000	202.43571	202.43642	45.86318	44.131805	-214.04938	731.997	267.0383532047272
-2.287042	87.98254	264.7502	-104.915634	6.066596	65.87627	128.64188	-68.613945	140.57143	125.6	16000	213.39494	213.39915	45.351547	42.468914	-224.28584	894.3038	305.0980134010315
46.296703	90.76654	230.31984	-57.2877	77.69418	91.28695	219.04877	-39.232914	98.7619	146.8	18000	219.50061	219.50247	48.69061	45.09668	-229.15234	1131.368	345.6493740081787
71.09915	76.48264	211.33644	-27.417048	98.36075	82.89882	246.05875	-45.321716	135.92857	142.6	20000	219.71147	219.71284	49.33603	44.12187	-228.36049	906.5173	382.26577854156494
