AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
2.5110176	5.706936	22.533297	-8.904003	-9.347936	2.6949055	-4.568327	-12.677415	21.619566	66.6	2000	3.245307	3.2460577	0.08709085	0.07893348	1.9233531e-11	2.3176062e-11	2.9189334e-10	2.4904193e-12	2001.4073	1088.3984	7264.73	440.21152	49007.91	781065.1	616.7186	-11.92974	4791.9497	10.343303680419922
2.4636009	7.439482	42.156292	-11.756167	74.56535	17.256851	110.74901	48.038147	20.306122	187.5	4000	22.275925	22.276321	0.84552157	0.80101234	7.585399e-12	4.260184e-12	4.0995537e-11	1.2156228e-12	6180.275	4780.331	42333.633	1.3833504	74441.26	1186408.8	823.3771	29.734879	3731.6313	31.146435022354126
2.902421	6.459111	27.221886	-8.429046	117.46094	91.218765	302.81992	54.96772	23.16092	183.2	6000	50.976143	50.97852	3.576798	3.333832	1.573466e-11	8.502516e-12	8.14175e-11	1.7359621e-12	27476.986	14078.395	98353.64	3696.7234	52377.75	834772.0	795.68274	7.1485205	4371.554	47.61009359359741
2.1983507	5.1708364	16.69502	-8.461723	-11.583897	1.1395882	-9.925786	-13.787925	20.214285	54.6	8000	79.799995	79.800255	8.048797	7.9643583	1.2930783e-11	6.7800526e-12	6.0579056e-11	2.261862e-12	43290.395	21161.428	169297.84	7025.8496	61165.832	974833.94	1416.4718	8.644108	4101.3203	64.2591323852539
1.8427578	5.725212	32.918232	-8.651815	-12.523728	8.779128	1.5622145	-32.47376	20.404041	55.3	10000	113.07672	113.07495	14.614963	15.1070385	2.0091043e-11	1.1717055e-11	9.7999366e-11	1.9878192e-12	63313.19	36003.805	403628.47	13087.018	48889.52	779179.44	1315.0319	1.503478	3643.019	82.87421536445618
63.59092	142.4832	502.9116	-67.70973	-4.546769	6.325245	6.7924795	-11.355311	112.94118	58.6	12000	147.3961	147.3976	21.527678	20.895168	1.8925715e-11	1.1148233e-11	6.8921965e-11	1.7555103e-12	74539.45	50834.29	390178.25	19714.164	48845.47	778477.44	1505.8649	-7.8640146	1403.0472	98.8178653717041
23.450462	105.88971	450.2358	-20.553444	134.56929	101.88347	286.02692	-44.262173	66.45	205.6	14000	161.69746	161.69933	27.987196	28.13464	1.885533e-11	1.2058111e-11	8.891375e-11	2.1020536e-12	106706.08	54055.113	409842.2	26378.174	26448.143	421518.9	806.9546	-8.89925	839.7476	122.62503242492676
126.66993	232.09737	767.4222	-44.325302	224.42232	149.77992	533.5227	29.8421	199.0	281.7	16000	178.5017	178.5031	27.535315	28.936815	3.1899577e-11	1.7839343e-11	1.2372225e-10	4.1912233e-12	63817.355	30682.105	229379.98	19396.143	8092.2935	128971.36	369.38052	-8.125231	1447.7275	139.95484399795532
129.5276	105.56191	299.66248	-0.071246214	-18.7251	24.56039	22.303053	-68.424965	178.33333	85.1	18000	189.83765	189.83784	27.79194	29.641468	3.9270462e-11	2.2393495e-11	1.7848971e-10	5.5897613e-12	34482.24	15158.246	118628.27	10006.185	6564.0654	104614.945	165.40678	-3.9398105	880.59973	161.4367709159851
19.630104	50.43895	126.12717	-83.9939	51.481598	102.74499	344.62784	-10.564502	97.8	144.5	20000	194.77483	194.77567	30.706394	31.968987	4.336451e-11	2.3686025e-11	1.519963e-10	4.30048e-12	23555.648	10037.385	97663.87	8910.571	6680.3237	106467.92	187.32716	-4.048666	1376.4375	177.91244554519653
