AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
2.53624	5.4578524	23.088898	-7.680399	371.2431	71.66403	473.68314	218.54704	20.360825	272.5	2000	3193.7246	102099.4	17.631622	-1.6726087	3193.56	102094.15	17.575655	-2.1298544	-1535.6271	49092.137	30.178543	-14.012806	-4.524195	0.07527216	0.07069142	4839.301	12.370922327041626
1.5263925	6.0938168	29.060345	-10.006447	3.6406128	3.068908	8.802616	0.14369483	21.72043	84.2	4000	19972.41	638493.1	71.3106	-20.224817	19972.553	638497.8	69.83398	-15.392583	3950.8784	126304.7	24.702461	-14.810807	-24.45131	0.5032744	0.4856738	3220.8376	39.63713455200195
2.2295303	5.6565447	21.174248	-6.95875	184.53497	152.98796	497.69638	3.2780442	20.822916	245.9	6000	72761.44	2326092.2	157.58337	-48.385918	72760.67	2326068.0	157.85956	-60.006523	8118.543	259539.7	38.875645	-15.224083	-82.572716	3.6821406	3.8158326	3292.4036	69.65051364898682
2.5244195	6.369772	28.66643	-8.259699	76.48631	90.610954	308.23795	8.129354	22.077778	58.9	8000	137276.11	4388545.0	267.3113	-96.81817	137277.05	4388575.5	268.35013	-95.85367	8066.1064	257863.38	47.331367	-15.179089	-148.19144	11.432486	11.187191	3400.0522	96.68005561828613
1.3693941	4.5599914	14.297025	-7.754046	-11.671537	13.538225	3.9212677	-46.78968	18.90566	39.5	10000	216822.16	6931535.0	464.1366	-219.51678	216821.64	6931517.0	469.1462	-139.74654	10865.919	347369.84	64.69018	-16.092213	-233.79176	34.715675	32.753166	3368.4226	123.51445269584656
-8.07412	16.84572	104.95125	-20.852041	-4.6104198	0.78278196	-2.7077749	-5.3695083	18.486238	16.4	12000	328888.97	10514170.0	665.12823	-209.83994	328892.72	10514290.0	686.3857	-173.50876	12470.808	398676.2	65.90608	-11.712814	-352.79562	142.84285	141.55981	687.6824	152.60356426239014
58.65002	111.926384	430.7295	-4.399947	-0.15512243	10.778321	16.632166	-27.516018	78.458336	58.4	14000	423089.38	13525641.0	675.383	-625.29694	423088.7	13525616.0	688.27344	-361.29053	10973.759	350817.44	71.17554	-14.797985	-442.35776	154.48691	155.57341	723.7405	181.88033199310303
48.079647	69.05376	290.19788	-27.585331	5.3743663	20.731487	47.189133	-13.6027155	98.90476	54.6	16000	450962.88	14416723.0	693.358	-528.4297	450967.6	14416873.0	691.5732	-259.29517	10127.6	323766.75	81.40479	-13.523258	-464.9735	128.41898	132.14757	757.79865	210.3935260772705
37.646835	96.48827	291.139	-68.481514	-21.556543	17.00873	3.9732077	-58.209457	107.55556	115.9	18000	449971.16	14385018.0	728.4478	-227.47778	449974.25	14385114.0	733.18713	-217.54285	8854.753	283075.44	67.39456	-13.085463	-460.7271	116.8071	128.03006	759.698	239.4578058719635
48.84972	88.392845	342.92255	-43.031902	77.45564	63.523884	203.06706	2.2704275	134.6	156.4	20000	440632.94	14086485.0	734.1419	-500.38766	440634.28	14086530.0	734.75287	-480.66812	8345.5	266795.3	57.128845	-13.795808	-449.9442	105.11999	114.70233	924.7512	267.31075859069824
